item_id,variance,mean,scale,domain,keyed,item_text
ipip_038,0.30515789473684213,4.39,IPIP-NEO-120,Openness,+,See beauty in things that others might not notice
ipip_039,0.6442105263157892,1.2,IPIP-NEO-120,Agreeableness,-,Cheat to get ahead
ipip_040,1.0227368421052627,2.18,IPIP-NEO-120,Conscientiousness,-,Often forget to put things back in their proper place
ipip_041,1.0369473684210526,1.97,IPIP-NEO-120,Neuroticism,+,Dislike myself
ipip_042,1.3906315789473684,2.77,IPIP-NEO-120,Extraversion,+,Try to lead others
ipip_043,2.052210526315789,2.12,IPIP-NEO-120,Openness,+,Feel others' emotions
ipip_044,0.5998947368421055,4.09,IPIP-NEO-120,Agreeableness,+,Am concerned about others
ipip_045,0.01936842105263163,4.96,IPIP-NEO-120,Conscientiousness,+,Tell the truth
ipip_046,1.4857894736842103,2.15,IPIP-NEO-120,Neuroticism,+,Am afraid that I will do the wrong thing
ipip_047,0.7919999999999999,2.2600000000000002,IPIP-NEO-120,Extraversion,+,Am always on the go
ipip_048,0.12410526315789476,2.9899999999999998,IPIP-NEO-120,Openness,-,Prefer to stick with things that I know
ipip_049,0.021473684210526332,1.06,IPIP-NEO-120,Agreeableness,-,Yell at people
ipip_050,0.28884210526315773,4.4399999999999995,IPIP-NEO-120,Conscientiousness,+,Do more than what's expected of me
ipip_051,0.6436842105263156,4.25,IPIP-NEO-120,Neuroticism,-,Rarely overindulge
ipip_052,0.49852631578947354,3.6799999999999997,IPIP-NEO-120,Extraversion,+,Seek adventure
ipip_053,0.5409473684210525,1.49,IPIP-NEO-120,Openness,-,Avoid philosophical discussions
ipip_054,0.2774736842105265,2.98,IPIP-NEO-120,Agreeableness,-,Have a high opinion of myself
ipip_055,1.0714736842105264,3.3899999999999997,IPIP-NEO-120,Conscientiousness,+,Carry out my plans
ipip_056,0.7422105263157893,1.73,IPIP-NEO-120,Neuroticism,+,Become overwhelmed by events
ipip_057,1.0285263157894733,3.8299999999999996,IPIP-NEO-120,Extraversion,+,Have a lot of fun
ipip_058,0.2893421052631579,3.075,IPIP-NEO-120,Openness,+,Believe that there is no absolute right or wrong
ipip_059,0.8188421052631579,4.1899999999999995,IPIP-NEO-120,Agreeableness,+,Feel sympathy for those who are worse off than myself
ipip_060,0.09515789473684212,1.16,IPIP-NEO-120,Conscientiousness,-,Make rash decisions
ipip_061,0.6585263157894738,1.6800000000000002,IPIP-NEO-120,Neuroticism,+,Am easily disturbed
ipip_062,0.4543157894736844,4.02,IPIP-NEO-120,Extraversion,+,Act comfortable with others
ipip_063,1.3658947368421053,2.92,IPIP-NEO-120,Openness,+,Enjoy daydreaming
ipip_064,0.33127485380116967,2.4466666666666663,IPIP-NEO-120,Agreeableness,+,Trust what people say
ipip_065,0.28157894736842093,4.25,IPIP-NEO-120,Conscientiousness,+,Handle tasks smoothly
ipip_066,0.7385263157894737,1.6800000000000002,IPIP-NEO-120,Neuroticism,+,Lose my composure
ipip_067,0.6547368421052634,2.9,IPIP-NEO-120,Extraversion,+,Enjoy parties
ipip_068,0.7915789473684205,3.8,IPIP-NEO-120,Openness,+,Like music
ipip_069,0.22263157894736835,1.15,IPIP-NEO-120,Agreeableness,-,Obstruct others' plans
ipip_070,0.18642105263157885,1.33,IPIP-NEO-120,Conscientiousness,-,Leave a mess in my room
ipip_071,0.5469473684210527,3.5799999999999996,IPIP-NEO-120,Neuroticism,-,Feel comfortable with myself
ipip_072,0.4946315789473683,2.31,IPIP-NEO-120,Extraversion,-,Wait for others to lead the way
ipip_073,0.5106315789473685,4.43,IPIP-NEO-120,Openness,+,Enjoy thinking about things
ipip_074,0.572105263157895,1.65,IPIP-NEO-120,Agreeableness,-,Am not interested in other people's problems
ipip_075,0.635263157894737,1.75,IPIP-NEO-120,Conscientiousness,-,Break rules
ipip_076,0.8037894736842109,2.2199999999999998,IPIP-NEO-120,Neuroticism,+,Only feel comfortable with friends
ipip_077,1.2542105263157894,2.35,IPIP-NEO-120,Extraversion,+,Do a lot in my spare time
ipip_078,0.46431578947368407,2.43,IPIP-NEO-120,Openness,-,Dislike changes
ipip_079,0.002000000000000001,1.01,IPIP-NEO-120,Agreeableness,-,Insult people
ipip_080,0.37094736842105286,4.46,IPIP-NEO-120,Conscientiousness,+,Set high standards for myself
ipip_081,0.46828947368421064,3.475,IPIP-NEO-120,Neuroticism,-,Am able to control my cravings
ipip_082,0.5763157894736843,1.75,IPIP-NEO-120,Extraversion,+,Act wild and crazy
ipip_083,0.4732631578947369,1.52,IPIP-NEO-120,Openness,-,Am not interested in abstract ideas
ipip_084,0.5721052631578947,1.55,IPIP-NEO-120,Agreeableness,-,Boast about my virtues
ipip_085,0.7052631578947367,3.7,IPIP-NEO-120,Conscientiousness,+,Get to work at once
ipip_086,0.9915789473684207,2.1,IPIP-NEO-120,Neuroticism,+,Can't make up my mind
ipip_087,0.24536842105263204,4.17,IPIP-NEO-120,Extraversion,+,Look at the bright side of life
ipip_088,0.26484210526315793,3.22,IPIP-NEO-120,Openness,-,Believe that we should be tough on crime
ipip_089,0.22852631578947366,1.33,IPIP-NEO-120,Agreeableness,-,Am indifferent to the feelings of others
ipip_090,0.4348421052631579,1.5699999999999998,IPIP-NEO-120,Conscientiousness,-,Jump into things without thinking
ipip_091,1.9722105263157892,1.92,IPIP-NEO-120,Neuroticism,+,Am stressed out
ipip_092,0.42989473684210533,3.34,IPIP-NEO-120,Extraversion,+,Am skilled in handling social situations
ipip_093,1.265684210526316,3.44,IPIP-NEO-120,Openness,+,Like to get lost in thought
ipip_094,0.3026315789473683,2.15,IPIP-NEO-120,Agreeableness,-,Distrust people
ipip_095,0.25221052631578944,4.38,IPIP-NEO-120,Conscientiousness,+,Know how to get things done
ipip_096,0.7667368421052633,4.34,IPIP-NEO-120,Neuroticism,-,Am not easily annoyed
ipip_097,0.2125263157894737,3.31,IPIP-NEO-120,Extraversion,-,Avoid crowds
ipip_098,0.5743157894736841,2.08,IPIP-NEO-120,Openness,-,Do not like art
ipip_099,0.3098947368421053,1.16,IPIP-NEO-120,Agreeableness,-,Take advantage of others
ipip_100,0.6543157894736842,3.5200000000000005,IPIP-NEO-120,Conscientiousness,+,Want everything to be 'just right'
ipip_101,0.7722105263157896,1.6800000000000002,IPIP-NEO-120,Neuroticism,+,Feel desperate
ipip_102,0.7110526315789473,1.75,IPIP-NEO-120,Extraversion,+,Am the life of the party
ipip_103,1.3364210526315794,4.08,IPIP-NEO-120,Openness,-,Seldom get emotional
ipip_104,0.7178947368421054,2.1,IPIP-NEO-120,Agreeableness,-,Am not really interested in others
ipip_105,0.4901052631578947,4.279999999999999,IPIP-NEO-120,Conscientiousness,+,Behave properly
ipip_106,1.147263157894737,1.7899999999999998,IPIP-NEO-120,Neuroticism,+,Am afraid of many things
ipip_107,0.14094736842105265,3.19,IPIP-NEO-120,Extraversion,-,Prefer to be alone
ipip_108,0.5358947368421054,2.17,IPIP-NEO-120,Openness,-,Dislike new foods
ipip_109,0.29936842105263156,1.34,IPIP-NEO-120,Agreeableness,-,Hold a grudge
ipip_110,0.48673684210526313,1.56,IPIP-NEO-120,Conscientiousness,-,Do just enough work to get by
ipip_111,0.7809473684210526,3.31,IPIP-NEO-120,Neuroticism,-,Easily resist temptations
ipip_112,0.750222222222222,1.653333333333333,IPIP-NEO-120,Extraversion,+,Seek danger
ipip_113,0.8811578947368419,3.7299999999999995,IPIP-NEO-120,Openness,+,Try to understand myself
ipip_114,0.3469473684210527,3.12,IPIP-NEO-120,Agreeableness,-,Think highly of myself
ipip_115,0.3590526315789474,4.17,IPIP-NEO-120,Conscientiousness,+,Get chores done right away
ipip_116,0.7385263157894737,2.08,IPIP-NEO-120,Neuroticism,+,Feel that my life lacks direction
ipip_117,0.730421052631579,1.89,IPIP-NEO-120,Extraversion,+,Am always joking around
ipip_118,0.4926315789473683,3.0,IPIP-NEO-120,Openness,-,Tend to vote for conservative political candidates
ipip_119,0.4356842105263159,2.09,IPIP-NEO-120,Agreeableness,-,Am hard to understand
ipip_120,0.3969473684210525,3.6700000000000004,IPIP-NEO-120,Conscientiousness,+,Stick to my chosen path
sd3_001,0.07105263157894737,3.85,SD3,Machiavellianism,+,It's not wise to tell your secrets.
sd3_002,0.06094736842105264,1.09,SD3,Machiavellianism,+,I like to use clever manipulation to get my way.
sd3_003,0.9089473684210524,2.15,SD3,Machiavellianism,+,"Whatever it takes, you must get the important people on your side."
sd3_004,0.5114736842105261,2.59,SD3,Machiavellianism,+,Avoid direct conflict with others because they may be useful in the future.
sd3_005,0.06431578947368419,1.1300000000000001,SD3,Machiavellianism,+,It's wise to keep track of information that you can use against people later.
sd3_006,0.24957894736842115,1.27,SD3,Machiavellianism,+,You should wait for the right time to get back at people.
sd3_007,0.2046315789473685,4.16,SD3,Machiavellianism,+,There are things you should hide from other people because they don't need to know.
sd3_008,0.5577894736842105,1.7100000000000002,SD3,Machiavellianism,+,"Make sure your plans benefit you, not others."
sd3_009,0.06357894736842107,4.0600000000000005,SD3,Machiavellianism,+,Most people can be manipulated.
sd3_010,0.8609473684210528,2.5100000000000002,SD3,Narcissism,+,People see me as a natural leader.
sd3_011,0.3085263157894737,3.2299999999999995,SD3,Narcissism,-,I hate being the center of attention.
sd3_012,0.7784210526315789,1.85,SD3,Narcissism,+,Many group activities tend to be dull without me.
sd3_013,0.5877894736842104,1.64,SD3,Narcissism,+,I know that I am special because everyone keeps telling me so.
sd3_014,0.23368421052631594,2.7,SD3,Narcissism,+,I like to get acquainted with important people.
sd3_015,0.7477894736842107,1.7600000000000002,SD3,Narcissism,-,I feel embarrassed if someone compliments me.
sd3_016,0.7346315789473683,2.3899999999999997,SD3,Narcissism,+,I have been compared to famous people.
sd3_017,0.9662105263157893,1.7899999999999998,SD3,Narcissism,-,I am an average person.
sd3_018,1.1784210526315788,2.65,SD3,Narcissism,+,I insist on getting the respect I deserve.
sd3_019,0.2774736842105264,1.22,SD3,Psychopathy,+,I like to get revenge on authorities.
sd3_020,0.5401052631578945,4.2700000000000005,SD3,Psychopathy,-,I avoid dangerous situations.
sd3_021,0.6743859649122805,1.4333333333333333,SD3,Psychopathy,+,Payback needs to be quick and nasty.
sd3_022,0.7742105263157893,1.65,SD3,Psychopathy,+,People often say I'm out of control.
sd3_023,0.8252631578947371,1.8,SD3,Psychopathy,+,It's true that I can be mean to others.
sd3_024,0.7801052631578947,1.73,SD3,Psychopathy,+,People who mess with me always regret it.
sd3_025,0.4348421052631583,4.67,SD3,Psychopathy,-,I have never gotten into trouble with the law.
sd3_026,1.5703947368421056,2.225,SD3,Psychopathy,+,I enjoy having sex with people I hardly know.
sd3_027,0.18221052631578952,1.17,SD3,Psychopathy,+,I'll say anything to get what I want.
