model_name,api_kind,persona,scale,domain,n_items,mean_score,std_score,min_score,max_score,completion_status
Claude-Opus-4.6,anthropic,ISFJ,ZKPQ-50-CC,Sociability,50,0.3,0.4583,0,1,complete
Claude-Opus-4.6,anthropic,INFJ,EPQR-A,Psychoticism,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,INFJ,EPQR-A,Extraversion,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,INFJ,EPQR-A,Neuroticism,30,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,INFJ,EPQR-A,Lie,30,0.5,0.5,0,1,complete
Claude-Opus-4.6,anthropic,INFJ,IPIP-NEO-120,Neuroticism,120,2.8333,0.9428,2,4,complete
Claude-Opus-4.6,anthropic,INFJ,IPIP-NEO-120,Extraversion,120,2.8583,0.8396,1,4,complete
Claude-Opus-4.6,anthropic,INFJ,IPIP-NEO-120,Openness,120,4.4,0.8794,2,5,complete
Claude-Opus-4.6,anthropic,INFJ,IPIP-NEO-120,Agreeableness,120,4.2833,0.9762,2,5,complete
Claude-Opus-4.6,anthropic,INFJ,IPIP-NEO-120,Conscientiousness,120,4.3667,0.4819,4,5,complete
Claude-Opus-4.6,anthropic,INFJ,SD3,Machiavellianism,45,2.4,1.3233,1,4,complete
Claude-Opus-4.6,anthropic,INFJ,SD3,Narcissism,45,2.4222,0.8025,2,4,complete
Claude-Opus-4.6,anthropic,INFJ,SD3,Psychopathy,45,1.4444,0.4969,1,2,complete
Claude-Opus-4.6,anthropic,INFJ,ZKPQ-50-CC,Activity,50,0.4,0.4899,0,1,complete
Claude-Opus-4.6,anthropic,INFJ,ZKPQ-50-CC,Aggression-Hostility,50,0.1,0.3,0,1,complete
Claude-Opus-4.6,anthropic,INFJ,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,0.1,0.3,0,1,complete
Claude-Opus-4.6,anthropic,INFJ,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.9,0.3,0,1,complete
Claude-Opus-4.6,anthropic,INFJ,ZKPQ-50-CC,Sociability,50,0.1,0.3,0,1,complete
Claude-Opus-4.6,anthropic,INTJ,EPQR-A,Psychoticism,30,0.1667,0.3727,0,1,complete
Claude-Opus-4.6,anthropic,INTJ,EPQR-A,Extraversion,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,INTJ,EPQR-A,Neuroticism,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,INTJ,EPQR-A,Lie,30,0.5,0.5,0,1,complete
Claude-Opus-4.6,anthropic,INTJ,IPIP-NEO-120,Neuroticism,120,1.9333,0.6549,1,4,complete
Claude-Opus-4.6,anthropic,INTJ,IPIP-NEO-120,Extraversion,120,2.4667,1.0403,1,5,complete
Claude-Opus-4.6,anthropic,INTJ,IPIP-NEO-120,Openness,120,3.6083,1.1202,2,5,complete
Claude-Opus-4.6,anthropic,INTJ,IPIP-NEO-120,Agreeableness,120,2.8917,0.9556,2,5,complete
Claude-Opus-4.6,anthropic,INTJ,IPIP-NEO-120,Conscientiousness,120,4.5833,0.5998,3,5,complete
Claude-Opus-4.6,anthropic,INTJ,SD3,Machiavellianism,45,2.7778,0.9162,2,4,complete
Claude-Opus-4.6,anthropic,INTJ,SD3,Narcissism,45,2.8889,1.2862,1,5,complete
Claude-Opus-4.6,anthropic,INTJ,SD3,Psychopathy,45,1.9778,0.9307,1,4,complete
Claude-Opus-4.6,anthropic,INTJ,ZKPQ-50-CC,Activity,50,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,INTJ,ZKPQ-50-CC,Aggression-Hostility,50,0.4,0.4899,0,1,complete
Claude-Opus-4.6,anthropic,INTJ,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,0.1,0.3,0,1,complete
Claude-Opus-4.6,anthropic,INTJ,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,INTJ,ZKPQ-50-CC,Sociability,50,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISTP,EPQR-A,Psychoticism,30,0.1667,0.3727,0,1,complete
Claude-Opus-4.6,anthropic,ISTP,EPQR-A,Extraversion,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISTP,EPQR-A,Neuroticism,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISTP,EPQR-A,Lie,30,0.2,0.4,0,1,complete
Claude-Opus-4.6,anthropic,ISTP,IPIP-NEO-120,Neuroticism,120,2.1417,0.6096,1,4,complete
Claude-Opus-4.6,anthropic,ISTP,IPIP-NEO-120,Extraversion,120,2.5,0.6455,2,4,complete
Claude-Opus-4.6,anthropic,ISTP,IPIP-NEO-120,Openness,120,2.7917,0.8154,2,4,complete
Claude-Opus-4.6,anthropic,ISTP,IPIP-NEO-120,Agreeableness,120,3.25,0.7773,2,5,complete
Claude-Opus-4.6,anthropic,ISTP,IPIP-NEO-120,Conscientiousness,120,3.1667,0.8882,2,5,complete
Claude-Opus-4.6,anthropic,ISTP,SD3,Machiavellianism,45,3.0,0.8165,2,4,complete
Claude-Opus-4.6,anthropic,ISTP,SD3,Narcissism,45,2.2,0.4,2,3,complete
Claude-Opus-4.6,anthropic,ISTP,SD3,Psychopathy,45,2.6,0.6799,2,4,complete
Claude-Opus-4.6,anthropic,ISTP,ZKPQ-50-CC,Activity,50,0.2,0.4,0,1,complete
Claude-Opus-4.6,anthropic,ISTP,ZKPQ-50-CC,Aggression-Hostility,50,0.42,0.4936,0,1,complete
Claude-Opus-4.6,anthropic,ISTP,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,0.8,0.4,0,1,complete
Claude-Opus-4.6,anthropic,ISTP,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISTP,ZKPQ-50-CC,Sociability,50,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISFP,EPQR-A,Psychoticism,30,0.1667,0.3727,0,1,complete
Claude-Opus-4.6,anthropic,ISFP,EPQR-A,Extraversion,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISFP,EPQR-A,Neuroticism,30,0.8333,0.3727,0,1,complete
Claude-Opus-4.6,anthropic,ISFP,EPQR-A,Lie,30,0.3333,0.4714,0,1,complete
Claude-Opus-4.6,anthropic,ISFP,IPIP-NEO-120,Neuroticism,120,3.1917,0.756,2,4,complete
Claude-Opus-4.6,anthropic,ISFP,IPIP-NEO-120,Extraversion,120,2.5833,0.7022,2,4,complete
Claude-Opus-4.6,anthropic,ISFP,IPIP-NEO-120,Openness,120,3.8167,1.0164,2,5,complete
Claude-Opus-4.6,anthropic,ISFP,IPIP-NEO-120,Agreeableness,120,4.4083,0.8113,2,5,complete
Claude-Opus-4.6,anthropic,ISFP,IPIP-NEO-120,Conscientiousness,120,3.2333,0.704,2,5,complete
Claude-Opus-4.6,anthropic,ISFP,SD3,Machiavellianism,45,2.4444,1.0657,1,4,complete
Claude-Opus-4.6,anthropic,ISFP,SD3,Narcissism,45,2.0,0.0,2,2,complete
Claude-Opus-4.6,anthropic,ISFP,SD3,Psychopathy,45,1.7778,0.4157,1,2,complete
Claude-Opus-4.6,anthropic,ISFP,ZKPQ-50-CC,Activity,50,0.18,0.3842,0,1,complete
Claude-Opus-4.6,anthropic,ISFP,ZKPQ-50-CC,Aggression-Hostility,50,0.2,0.4,0,1,complete
Claude-Opus-4.6,anthropic,ISFP,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,0.88,0.325,0,1,complete
Claude-Opus-4.6,anthropic,ISFP,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.9,0.3,0,1,complete
Claude-Opus-4.6,anthropic,ISFP,ZKPQ-50-CC,Sociability,50,0.1,0.3,0,1,complete
Claude-Opus-4.6,anthropic,INFP,EPQR-A,Psychoticism,30,0.3333,0.4714,0,1,complete
Claude-Opus-4.6,anthropic,INFP,EPQR-A,Extraversion,30,0.0333,0.1795,0,1,complete
Claude-Opus-4.6,anthropic,INFP,EPQR-A,Neuroticism,30,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,INFP,EPQR-A,Lie,30,0.3,0.4583,0,1,complete
Claude-Opus-4.6,anthropic,INFP,IPIP-NEO-120,Neuroticism,120,3.55,0.6436,2,4,complete
Claude-Opus-4.6,anthropic,INFP,IPIP-NEO-120,Extraversion,120,2.4583,0.7626,2,4,complete
Claude-Opus-4.6,anthropic,INFP,IPIP-NEO-120,Openness,120,4.625,0.4841,4,5,complete
Claude-Opus-4.6,anthropic,INFP,IPIP-NEO-120,Agreeableness,120,4.425,0.8628,2,5,complete
Claude-Opus-4.6,anthropic,INFP,IPIP-NEO-120,Conscientiousness,120,3.4,0.9434,2,5,complete
Claude-Opus-4.6,anthropic,INFP,SD3,Machiavellianism,45,1.7778,0.7857,1,3,complete
Claude-Opus-4.6,anthropic,INFP,SD3,Narcissism,45,2.2222,0.6285,2,4,complete
Claude-Opus-4.6,anthropic,INFP,SD3,Psychopathy,45,1.6,0.4899,1,2,complete
Claude-Opus-4.6,anthropic,INFP,ZKPQ-50-CC,Activity,50,0.1,0.3,0,1,complete
Claude-Opus-4.6,anthropic,INFP,ZKPQ-50-CC,Aggression-Hostility,50,0.22,0.4142,0,1,complete
Claude-Opus-4.6,anthropic,INFP,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,0.9,0.3,0,1,complete
Claude-Opus-4.6,anthropic,INFP,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.9,0.3,0,1,complete
Claude-Opus-4.6,anthropic,INFP,ZKPQ-50-CC,Sociability,50,0.1,0.3,0,1,complete
Claude-Opus-4.6,anthropic,INTP,EPQR-A,Psychoticism,30,0.2667,0.4422,0,1,complete
Claude-Opus-4.6,anthropic,INTP,EPQR-A,Extraversion,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,INTP,EPQR-A,Neuroticism,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,INTP,EPQR-A,Lie,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,INTP,IPIP-NEO-120,Neuroticism,120,2.5167,0.7069,2,4,complete
Claude-Opus-4.6,anthropic,INTP,IPIP-NEO-120,Extraversion,120,2.1083,0.5131,1,3,complete
Claude-Opus-4.6,anthropic,INTP,IPIP-NEO-120,Openness,120,3.9583,0.9781,2,5,complete
Claude-Opus-4.6,anthropic,INTP,IPIP-NEO-120,Agreeableness,120,3.125,1.0533,2,5,complete
Claude-Opus-4.6,anthropic,INTP,IPIP-NEO-120,Conscientiousness,120,2.9917,0.8708,2,5,complete
Claude-Opus-4.6,anthropic,INTP,SD3,Machiavellianism,45,2.8889,0.8749,2,4,complete
Claude-Opus-4.6,anthropic,INTP,SD3,Narcissism,45,2.2222,0.7857,1,4,complete
Claude-Opus-4.6,anthropic,INTP,SD3,Psychopathy,45,2.2222,0.7857,1,4,complete
Claude-Opus-4.6,anthropic,INTP,ZKPQ-50-CC,Activity,50,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,INTP,ZKPQ-50-CC,Aggression-Hostility,50,0.34,0.4737,0,1,complete
Claude-Opus-4.6,anthropic,INTP,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,0.4,0.4899,0,1,complete
Claude-Opus-4.6,anthropic,INTP,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.3,0.4583,0,1,complete
Claude-Opus-4.6,anthropic,INTP,ZKPQ-50-CC,Sociability,50,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ESTP,EPQR-A,Psychoticism,30,0.6333,0.4819,0,1,complete
Claude-Opus-4.6,anthropic,ESTP,EPQR-A,Extraversion,30,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ESTP,EPQR-A,Neuroticism,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ESTP,EPQR-A,Lie,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ESTP,IPIP-NEO-120,Neuroticism,120,2.1583,0.9916,1,4,complete
Claude-Opus-4.6,anthropic,ESTP,IPIP-NEO-120,Extraversion,120,4.6667,0.4714,4,5,complete
Claude-Opus-4.6,anthropic,ESTP,IPIP-NEO-120,Openness,120,2.7917,1.0793,2,5,complete
Claude-Opus-4.6,anthropic,ESTP,IPIP-NEO-120,Agreeableness,120,3.0917,0.6582,2,5,complete
Claude-Opus-4.6,anthropic,ESTP,IPIP-NEO-120,Conscientiousness,120,3.0167,0.9573,2,5,complete
Claude-Opus-4.6,anthropic,ESTP,SD3,Machiavellianism,45,3.2222,0.7857,2,4,complete
Claude-Opus-4.6,anthropic,ESTP,SD3,Narcissism,45,3.8889,0.5666,3,5,complete
Claude-Opus-4.6,anthropic,ESTP,SD3,Psychopathy,45,3.4444,0.4969,3,4,complete
Claude-Opus-4.6,anthropic,ESTP,ZKPQ-50-CC,Activity,50,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ESTP,ZKPQ-50-CC,Aggression-Hostility,50,0.9,0.3,0,1,complete
Claude-Opus-4.6,anthropic,ESTP,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ESTP,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.08,0.2713,0,1,complete
Claude-Opus-4.6,anthropic,ESTP,ZKPQ-50-CC,Sociability,50,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ESFP,EPQR-A,Psychoticism,30,0.3667,0.4819,0,1,complete
Claude-Opus-4.6,anthropic,ESFP,EPQR-A,Extraversion,30,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ESFP,EPQR-A,Neuroticism,30,0.3333,0.4714,0,1,complete
Claude-Opus-4.6,anthropic,ESFP,EPQR-A,Lie,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ESFP,IPIP-NEO-120,Neuroticism,120,2.3333,0.9428,1,4,complete
Claude-Opus-4.6,anthropic,ESFP,IPIP-NEO-120,Extraversion,120,4.7,0.5416,3,5,complete
Claude-Opus-4.6,anthropic,ESFP,IPIP-NEO-120,Openness,120,3.4583,1.0793,2,5,complete
Claude-Opus-4.6,anthropic,ESFP,IPIP-NEO-120,Agreeableness,120,4.1667,0.925,2,5,complete
Claude-Opus-4.6,anthropic,ESFP,IPIP-NEO-120,Conscientiousness,120,2.975,0.8511,2,4,complete
Claude-Opus-4.6,anthropic,ESFP,SD3,Machiavellianism,45,2.3556,0.9227,1,4,complete
Claude-Opus-4.6,anthropic,ESFP,SD3,Narcissism,45,3.8889,0.5666,3,5,complete
Claude-Opus-4.6,anthropic,ESFP,SD3,Psychopathy,45,2.4444,0.6849,2,4,complete
Claude-Opus-4.6,anthropic,ESFP,ZKPQ-50-CC,Activity,50,0.9,0.3,0,1,complete
Claude-Opus-4.6,anthropic,ESFP,ZKPQ-50-CC,Aggression-Hostility,50,0.48,0.4996,0,1,complete
Claude-Opus-4.6,anthropic,ESFP,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ESFP,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.18,0.3842,0,1,complete
Claude-Opus-4.6,anthropic,ESFP,ZKPQ-50-CC,Sociability,50,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ENFP,EPQR-A,Psychoticism,30,0.5,0.5,0,1,complete
Claude-Opus-4.6,anthropic,ENFP,EPQR-A,Extraversion,30,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ENFP,EPQR-A,Neuroticism,30,0.8333,0.3727,0,1,complete
Claude-Opus-4.6,anthropic,ENFP,EPQR-A,Lie,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ENFP,IPIP-NEO-120,Neuroticism,120,2.7083,0.9609,1,4,complete
Claude-Opus-4.6,anthropic,ENFP,IPIP-NEO-120,Extraversion,120,4.5333,0.5764,3,5,complete
Claude-Opus-4.6,anthropic,ENFP,IPIP-NEO-120,Openness,120,4.7167,0.5193,3,5,complete
Claude-Opus-4.6,anthropic,ENFP,IPIP-NEO-120,Agreeableness,120,4.325,0.8959,2,5,complete
Claude-Opus-4.6,anthropic,ENFP,IPIP-NEO-120,Conscientiousness,120,3.0833,0.9965,2,5,complete
Claude-Opus-4.6,anthropic,ENFP,SD3,Machiavellianism,45,2.1333,0.7775,1,4,complete
Claude-Opus-4.6,anthropic,ENFP,SD3,Narcissism,45,3.8889,0.5666,3,5,complete
Claude-Opus-4.6,anthropic,ENFP,SD3,Psychopathy,45,2.2444,0.7932,1,4,complete
Claude-Opus-4.6,anthropic,ENFP,ZKPQ-50-CC,Activity,50,0.9,0.3,0,1,complete
Claude-Opus-4.6,anthropic,ENFP,ZKPQ-50-CC,Aggression-Hostility,50,0.52,0.4996,0,1,complete
Claude-Opus-4.6,anthropic,ENFP,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ENFP,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.6,0.4899,0,1,complete
Claude-Opus-4.6,anthropic,ENFP,ZKPQ-50-CC,Sociability,50,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ENTP,EPQR-A,Psychoticism,30,0.5,0.5,0,1,complete
Claude-Opus-4.6,anthropic,ENTP,EPQR-A,Extraversion,30,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ENTP,EPQR-A,Neuroticism,30,0.1667,0.3727,0,1,complete
Claude-Opus-4.6,anthropic,ENTP,EPQR-A,Lie,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ENTP,IPIP-NEO-120,Neuroticism,120,2.25,0.878,1,4,complete
Claude-Opus-4.6,anthropic,ENTP,IPIP-NEO-120,Extraversion,120,4.375,0.5637,3,5,complete
Claude-Opus-4.6,anthropic,ENTP,IPIP-NEO-120,Openness,120,4.25,0.8292,2,5,complete
Claude-Opus-4.6,anthropic,ENTP,IPIP-NEO-120,Agreeableness,120,3.075,0.9052,1,4,complete
Claude-Opus-4.6,anthropic,ENTP,IPIP-NEO-120,Conscientiousness,120,2.8833,0.9762,2,5,complete
Claude-Opus-4.6,anthropic,ENTP,SD3,Machiavellianism,45,2.8889,0.8749,2,4,complete
Claude-Opus-4.6,anthropic,ENTP,SD3,Narcissism,45,4.1333,0.6532,2,5,complete
Claude-Opus-4.6,anthropic,ENTP,SD3,Psychopathy,45,2.9333,0.7424,2,4,complete
Claude-Opus-4.6,anthropic,ENTP,ZKPQ-50-CC,Activity,50,0.9,0.3,0,1,complete
Claude-Opus-4.6,anthropic,ENTP,ZKPQ-50-CC,Aggression-Hostility,50,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ENTP,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ENTP,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.1,0.3,0,1,complete
Claude-Opus-4.6,anthropic,ENTP,ZKPQ-50-CC,Sociability,50,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ESTJ,EPQR-A,Psychoticism,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ESTJ,EPQR-A,Extraversion,30,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ESTJ,EPQR-A,Neuroticism,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ESTJ,EPQR-A,Lie,30,0.5,0.5,0,1,complete
Claude-Opus-4.6,anthropic,ESTJ,IPIP-NEO-120,Neuroticism,120,1.9333,0.8439,1,4,complete
Claude-Opus-4.6,anthropic,ESTJ,IPIP-NEO-120,Extraversion,120,3.6833,0.9573,2,5,complete
Claude-Opus-4.6,anthropic,ESTJ,IPIP-NEO-120,Openness,120,2.0083,0.6519,1,4,complete
Claude-Opus-4.6,anthropic,ESTJ,IPIP-NEO-120,Agreeableness,120,3.375,0.8069,2,5,complete
Claude-Opus-4.6,anthropic,ESTJ,IPIP-NEO-120,Conscientiousness,120,4.7,0.5715,2,5,complete
Claude-Opus-4.6,anthropic,ESTJ,SD3,Machiavellianism,45,2.8889,0.9938,2,4,complete
Claude-Opus-4.6,anthropic,ESTJ,SD3,Narcissism,45,3.7778,1.0304,2,5,complete
Claude-Opus-4.6,anthropic,ESTJ,SD3,Psychopathy,45,1.8222,0.8243,1,4,complete
Claude-Opus-4.6,anthropic,ESTJ,ZKPQ-50-CC,Activity,50,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ESTJ,ZKPQ-50-CC,Aggression-Hostility,50,0.98,0.14,0,1,complete
Claude-Opus-4.6,anthropic,ESTJ,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,0.1,0.3,0,1,complete
Claude-Opus-4.6,anthropic,ESTJ,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ESTJ,ZKPQ-50-CC,Sociability,50,0.9,0.3,0,1,complete
Claude-Opus-4.6,anthropic,ESFJ,EPQR-A,Psychoticism,30,0.1667,0.3727,0,1,complete
Claude-Opus-4.6,anthropic,ESFJ,EPQR-A,Extraversion,30,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ESFJ,EPQR-A,Neuroticism,30,0.6667,0.4714,0,1,complete
Claude-Opus-4.6,anthropic,ESFJ,EPQR-A,Lie,30,0.5,0.5,0,1,complete
Claude-Opus-4.6,anthropic,ESFJ,IPIP-NEO-120,Neuroticism,120,2.5833,0.862,1,4,complete
Claude-Opus-4.6,anthropic,ESFJ,IPIP-NEO-120,Extraversion,120,3.975,0.9701,1,5,complete
Claude-Opus-4.6,anthropic,ESFJ,IPIP-NEO-120,Openness,120,2.8333,0.986,2,5,complete
Claude-Opus-4.6,anthropic,ESFJ,IPIP-NEO-120,Agreeableness,120,4.4583,0.865,2,5,complete
