model,persona,condition,scale,domain,agreement
Claude-Opus-4.6,ISTJ,MBTI,ZKPQ-50-CC,Activity,0.875
Claude-Opus-4.6,ISTJ,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.6952380952380952
Claude-Opus-4.6,ISTJ,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.7777777777777778
Claude-Opus-4.6,ISTJ,MBTI,ZKPQ-50-CC,Sociability,1.0
Claude-Opus-4.6,ISFJ,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,ISFJ,MBTI,EPQR-A,Lie,0.25
Claude-Opus-4.6,ISFJ,MBTI,IPIP-NEO-120,Agreeableness,0.9957983193277311
Claude-Opus-4.6,ISFJ,MBTI,IPIP-NEO-120,Conscientiousness,0.8558823529411765
Claude-Opus-4.6,ISFJ,MBTI,IPIP-NEO-120,Extraversion,0.961904761904762
Claude-Opus-4.6,ISFJ,MBTI,IPIP-NEO-120,Neuroticism,0.7342105263157894
Claude-Opus-4.6,ISFJ,MBTI,IPIP-NEO-120,Openness,0.7888888888888889
Claude-Opus-4.6,ISFJ,MBTI,SD3,Narcissism,1.0
Claude-Opus-4.6,ISFJ,MBTI,SD3,Psychopathy,0.9107142857142857
Claude-Opus-4.6,ISFJ,MBTI,ZKPQ-50-CC,Activity,0.19999999999999996
Claude-Opus-4.6,ISFJ,MBTI,ZKPQ-50-CC,Aggression-Hostility,1.0
Claude-Opus-4.6,ISFJ,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.0
Claude-Opus-4.6,ISFJ,MBTI,ZKPQ-50-CC,Sociability,0.9166666666666667
Claude-Opus-4.6,INFJ,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,INFJ,MBTI,EPQR-A,Lie,0.25
Claude-Opus-4.6,INFJ,MBTI,IPIP-NEO-120,Agreeableness,0.9991596638655462
Claude-Opus-4.6,INFJ,MBTI,IPIP-NEO-120,Conscientiousness,0.8873949579831935
Claude-Opus-4.6,INFJ,MBTI,IPIP-NEO-120,Extraversion,0.9452380952380953
Claude-Opus-4.6,INFJ,MBTI,IPIP-NEO-120,Neuroticism,0.8
Claude-Opus-4.6,INFJ,MBTI,IPIP-NEO-120,Openness,0.9111111111111112
Claude-Opus-4.6,INFJ,MBTI,SD3,Narcissism,0.9083333333333334
Claude-Opus-4.6,INFJ,MBTI,SD3,Psychopathy,0.8214285714285714
Claude-Opus-4.6,INFJ,MBTI,ZKPQ-50-CC,Activity,0.5
Claude-Opus-4.6,INFJ,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.6666666666666667
Claude-Opus-4.6,INFJ,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.0
Claude-Opus-4.6,INFJ,MBTI,ZKPQ-50-CC,Sociability,0.75
Claude-Opus-4.6,INTJ,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,INTJ,MBTI,EPQR-A,Lie,1.0
Claude-Opus-4.6,INTJ,MBTI,IPIP-NEO-120,Agreeableness,0.8668067226890758
Claude-Opus-4.6,INTJ,MBTI,IPIP-NEO-120,Conscientiousness,0.9756302521008402
Claude-Opus-4.6,INTJ,MBTI,IPIP-NEO-120,Extraversion,0.8476190476190476
Claude-Opus-4.6,INTJ,MBTI,IPIP-NEO-120,Neuroticism,0.9536842105263157
Claude-Opus-4.6,INTJ,MBTI,IPIP-NEO-120,Openness,0.9766666666666667
Claude-Opus-4.6,INTJ,MBTI,SD3,Narcissism,0.7083333333333334
Claude-Opus-4.6,INTJ,MBTI,SD3,Psychopathy,0.9928571428571429
Claude-Opus-4.6,INTJ,MBTI,ZKPQ-50-CC,Activity,1.0
Claude-Opus-4.6,INTJ,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.6190476190476191
Claude-Opus-4.6,INTJ,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,1.0
Claude-Opus-4.6,INTJ,MBTI,ZKPQ-50-CC,Sociability,1.0
Claude-Opus-4.6,ISTP,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,ISTP,MBTI,EPQR-A,Lie,0.7
Claude-Opus-4.6,ISTP,MBTI,IPIP-NEO-120,Agreeableness,0.8613445378151261
Claude-Opus-4.6,ISTP,MBTI,IPIP-NEO-120,Conscientiousness,0.9411764705882353
Claude-Opus-4.6,ISTP,MBTI,IPIP-NEO-120,Extraversion,0.9523809523809524
Claude-Opus-4.6,ISTP,MBTI,IPIP-NEO-120,Neuroticism,0.9805263157894737
Claude-Opus-4.6,ISTP,MBTI,IPIP-NEO-120,Openness,0.95
Claude-Opus-4.6,ISTP,MBTI,SD3,Narcissism,0.85
Claude-Opus-4.6,ISTP,MBTI,SD3,Psychopathy,0.7107142857142856
Claude-Opus-4.6,ISTP,MBTI,ZKPQ-50-CC,Activity,0.75
Claude-Opus-4.6,ISTP,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.9714285714285714
Claude-Opus-4.6,ISTP,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,1.0
Claude-Opus-4.6,ISTP,MBTI,ZKPQ-50-CC,Sociability,1.0
Claude-Opus-4.6,ISFP,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,ISFP,MBTI,EPQR-A,Lie,0.5
Claude-Opus-4.6,ISFP,MBTI,IPIP-NEO-120,Agreeableness,0.9928571428571427
Claude-Opus-4.6,ISFP,MBTI,IPIP-NEO-120,Conscientiousness,0.9680672268907563
Claude-Opus-4.6,ISFP,MBTI,IPIP-NEO-120,Extraversion,0.8333333333333334
Claude-Opus-4.6,ISFP,MBTI,IPIP-NEO-120,Neuroticism,0.8763157894736842
Claude-Opus-4.6,ISFP,MBTI,IPIP-NEO-120,Openness,0.7622222222222224
Claude-Opus-4.6,ISFP,MBTI,SD3,Narcissism,1.0
Claude-Opus-4.6,ISFP,MBTI,SD3,Psychopathy,0.9285714285714286
Claude-Opus-4.6,ISFP,MBTI,ZKPQ-50-CC,Activity,0.775
Claude-Opus-4.6,ISFP,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.7142857142857143
Claude-Opus-4.6,ISFP,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.0
Claude-Opus-4.6,ISFP,MBTI,ZKPQ-50-CC,Sociability,0.75
Claude-Opus-4.6,INFP,MBTI,EPQR-A,Extraversion,0.9333333333333333
Claude-Opus-4.6,INFP,MBTI,EPQR-A,Lie,0.55
Claude-Opus-4.6,INFP,MBTI,IPIP-NEO-120,Agreeableness,0.9483193277310926
Claude-Opus-4.6,INFP,MBTI,IPIP-NEO-120,Conscientiousness,0.9596638655462184
Claude-Opus-4.6,INFP,MBTI,IPIP-NEO-120,Extraversion,0.8690476190476191
Claude-Opus-4.6,INFP,MBTI,IPIP-NEO-120,Neuroticism,0.9021052631578946
Claude-Opus-4.6,INFP,MBTI,IPIP-NEO-120,Openness,0.9277777777777778
Claude-Opus-4.6,INFP,MBTI,SD3,Narcissism,0.8333333333333334
Claude-Opus-4.6,INFP,MBTI,SD3,Psychopathy,0.8714285714285714
Claude-Opus-4.6,INFP,MBTI,ZKPQ-50-CC,Activity,0.875
Claude-Opus-4.6,INFP,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.780952380952381
Claude-Opus-4.6,INFP,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.0
Claude-Opus-4.6,INFP,MBTI,ZKPQ-50-CC,Sociability,0.75
Claude-Opus-4.6,INTP,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,INTP,MBTI,EPQR-A,Lie,1.0
Claude-Opus-4.6,INTP,MBTI,IPIP-NEO-120,Agreeableness,0.8046218487394958
Claude-Opus-4.6,INTP,MBTI,IPIP-NEO-120,Conscientiousness,0.9466386554621848
Claude-Opus-4.6,INTP,MBTI,IPIP-NEO-120,Extraversion,0.9357142857142857
Claude-Opus-4.6,INTP,MBTI,IPIP-NEO-120,Neuroticism,0.9631578947368421
Claude-Opus-4.6,INTP,MBTI,IPIP-NEO-120,Openness,0.9277777777777778
Claude-Opus-4.6,INTP,MBTI,SD3,Narcissism,0.7083333333333333
Claude-Opus-4.6,INTP,MBTI,SD3,Psychopathy,0.9107142857142857
Claude-Opus-4.6,INTP,MBTI,ZKPQ-50-CC,Activity,1.0
Claude-Opus-4.6,INTP,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.9904761904761905
Claude-Opus-4.6,INTP,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.6666666666666667
Claude-Opus-4.6,INTP,MBTI,ZKPQ-50-CC,Sociability,1.0
Claude-Opus-4.6,ESTP,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,ESTP,MBTI,EPQR-A,Lie,1.0
Claude-Opus-4.6,ESTP,MBTI,IPIP-NEO-120,Agreeableness,0.9819327731092438
Claude-Opus-4.6,ESTP,MBTI,IPIP-NEO-120,Conscientiousness,0.6915966386554621
Claude-Opus-4.6,ESTP,MBTI,IPIP-NEO-120,Extraversion,0.9047619047619047
Claude-Opus-4.6,ESTP,MBTI,IPIP-NEO-120,Neuroticism,0.7973684210526315
Claude-Opus-4.6,ESTP,MBTI,IPIP-NEO-120,Openness,0.8722222222222222
Claude-Opus-4.6,ESTP,MBTI,SD3,Narcissism,0.8333333333333334
Claude-Opus-4.6,ESTP,MBTI,SD3,Psychopathy,0.9821428571428571
Claude-Opus-4.6,ESTP,MBTI,ZKPQ-50-CC,Activity,1.0
Claude-Opus-4.6,ESTP,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.6666666666666666
Claude-Opus-4.6,ESTP,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.9111111111111111
Claude-Opus-4.6,ESTP,MBTI,ZKPQ-50-CC,Sociability,1.0
Claude-Opus-4.6,ESFP,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,ESFP,MBTI,EPQR-A,Lie,1.0
Claude-Opus-4.6,ESFP,MBTI,IPIP-NEO-120,Agreeableness,0.9915966386554622
Claude-Opus-4.6,ESFP,MBTI,IPIP-NEO-120,Conscientiousness,0.7163865546218486
Claude-Opus-4.6,ESFP,MBTI,IPIP-NEO-120,Extraversion,0.9904761904761905
Claude-Opus-4.6,ESFP,MBTI,IPIP-NEO-120,Neuroticism,0.7894736842105263
Claude-Opus-4.6,ESFP,MBTI,IPIP-NEO-120,Openness,0.9611111111111111
Claude-Opus-4.6,ESFP,MBTI,SD3,Narcissism,0.8333333333333334
Claude-Opus-4.6,ESFP,MBTI,SD3,Psychopathy,0.8214285714285714
Claude-Opus-4.6,ESFP,MBTI,ZKPQ-50-CC,Activity,0.5
Claude-Opus-4.6,ESFP,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.6
Claude-Opus-4.6,ESFP,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.8
Claude-Opus-4.6,ESFP,MBTI,ZKPQ-50-CC,Sociability,1.0
Claude-Opus-4.6,ENFP,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,ENFP,MBTI,EPQR-A,Lie,1.0
Claude-Opus-4.6,ENFP,MBTI,IPIP-NEO-120,Agreeableness,0.8626050420168065
Claude-Opus-4.6,ENFP,MBTI,IPIP-NEO-120,Conscientiousness,0.7184873949579832
Claude-Opus-4.6,ENFP,MBTI,IPIP-NEO-120,Extraversion,0.8476190476190477
Claude-Opus-4.6,ENFP,MBTI,IPIP-NEO-120,Neuroticism,0.8447368421052631
Claude-Opus-4.6,ENFP,MBTI,IPIP-NEO-120,Openness,0.9444444444444446
Claude-Opus-4.6,ENFP,MBTI,SD3,Narcissism,0.8333333333333334
Claude-Opus-4.6,ENFP,MBTI,SD3,Psychopathy,0.7571428571428571
Claude-Opus-4.6,ENFP,MBTI,ZKPQ-50-CC,Activity,0.5
Claude-Opus-4.6,ENFP,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.7333333333333334
Claude-Opus-4.6,ENFP,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.33333333333333337
Claude-Opus-4.6,ENFP,MBTI,ZKPQ-50-CC,Sociability,1.0
Claude-Opus-4.6,ENTP,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,ENTP,MBTI,EPQR-A,Lie,1.0
Claude-Opus-4.6,ENTP,MBTI,IPIP-NEO-120,Agreeableness,0.923109243697479
Claude-Opus-4.6,ENTP,MBTI,IPIP-NEO-120,Conscientiousness,0.7487394957983193
Claude-Opus-4.6,ENTP,MBTI,IPIP-NEO-120,Extraversion,0.9880952380952379
Claude-Opus-4.6,ENTP,MBTI,IPIP-NEO-120,Neuroticism,0.7631578947368421
Claude-Opus-4.6,ENTP,MBTI,IPIP-NEO-120,Openness,0.9888888888888889
Claude-Opus-4.6,ENTP,MBTI,SD3,Narcissism,0.7500000000000001
Claude-Opus-4.6,ENTP,MBTI,SD3,Psychopathy,0.9142857142857143
Claude-Opus-4.6,ENTP,MBTI,ZKPQ-50-CC,Activity,0.875
Claude-Opus-4.6,ENTP,MBTI,ZKPQ-50-CC,Aggression-Hostility,1.0
Claude-Opus-4.6,ENTP,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.8888888888888888
Claude-Opus-4.6,ENTP,MBTI,ZKPQ-50-CC,Sociability,1.0
Claude-Opus-4.6,ESTJ,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,ESTJ,MBTI,EPQR-A,Lie,0.25
Claude-Opus-4.6,ESTJ,MBTI,IPIP-NEO-120,Agreeableness,0.9180672268907563
Claude-Opus-4.6,ESTJ,MBTI,IPIP-NEO-120,Conscientiousness,0.8941176470588237
Claude-Opus-4.6,ESTJ,MBTI,IPIP-NEO-120,Extraversion,0.8142857142857144
Claude-Opus-4.6,ESTJ,MBTI,IPIP-NEO-120,Neuroticism,0.8526315789473684
Claude-Opus-4.6,ESTJ,MBTI,IPIP-NEO-120,Openness,0.961111111111111
Claude-Opus-4.6,ESTJ,MBTI,SD3,Narcissism,0.9166666666666666
Claude-Opus-4.6,ESTJ,MBTI,SD3,Psychopathy,0.9285714285714286
Claude-Opus-4.6,ESTJ,MBTI,ZKPQ-50-CC,Activity,1.0
Claude-Opus-4.6,ESTJ,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.9333333333333332
Claude-Opus-4.6,ESTJ,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,1.0
Claude-Opus-4.6,ESTJ,MBTI,ZKPQ-50-CC,Sociability,0.75
Claude-Opus-4.6,ESFJ,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,ESFJ,MBTI,EPQR-A,Lie,0.25
Claude-Opus-4.6,ESFJ,MBTI,IPIP-NEO-120,Agreeableness,0.9600840336134455
Claude-Opus-4.6,ESFJ,MBTI,IPIP-NEO-120,Conscientiousness,0.992436974789916
Claude-Opus-4.6,ESFJ,MBTI,IPIP-NEO-120,Extraversion,0.8976190476190478
Claude-Opus-4.6,ESFJ,MBTI,IPIP-NEO-120,Neuroticism,0.9421052631578947
Claude-Opus-4.6,ESFJ,MBTI,IPIP-NEO-120,Openness,0.9333333333333333
Claude-Opus-4.6,ESFJ,MBTI,SD3,Narcissism,0.9916666666666667
Claude-Opus-4.6,ESFJ,MBTI,SD3,Psychopathy,0.9392857142857143
Claude-Opus-4.6,ESFJ,MBTI,ZKPQ-50-CC,Activity,1.0
Claude-Opus-4.6,ESFJ,MBTI,ZKPQ-50-CC,Aggression-Hostility,1.0
Claude-Opus-4.6,ESFJ,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.3555555555555556
Claude-Opus-4.6,ESFJ,MBTI,ZKPQ-50-CC,Sociability,1.0
Claude-Opus-4.6,ENFJ,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,ENFJ,MBTI,EPQR-A,Lie,0.25
Claude-Opus-4.6,ENFJ,MBTI,IPIP-NEO-120,Agreeableness,0.9096638655462184
Claude-Opus-4.6,ENFJ,MBTI,IPIP-NEO-120,Conscientiousness,0.9029411764705884
Claude-Opus-4.6,ENFJ,MBTI,IPIP-NEO-120,Extraversion,0.8547619047619048
Claude-Opus-4.6,ENFJ,MBTI,IPIP-NEO-120,Neuroticism,0.9789473684210527
Claude-Opus-4.6,ENFJ,MBTI,IPIP-NEO-120,Openness,0.9877777777777776
Claude-Opus-4.6,ENFJ,MBTI,SD3,Narcissism,0.875
Claude-Opus-4.6,ENFJ,MBTI,SD3,Psychopathy,0.8571428571428572
Claude-Opus-4.6,ENFJ,MBTI,ZKPQ-50-CC,Activity,1.0
Claude-Opus-4.6,ENFJ,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.9238095238095239
Claude-Opus-4.6,ENFJ,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.4444444444444444
Claude-Opus-4.6,ENFJ,MBTI,ZKPQ-50-CC,Sociability,1.0
Claude-Opus-4.6,ENTJ,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,ENTJ,MBTI,EPQR-A,Lie,0.5
Claude-Opus-4.6,ENTJ,MBTI,IPIP-NEO-120,Agreeableness,0.919327731092437
Claude-Opus-4.6,ENTJ,MBTI,IPIP-NEO-120,Conscientiousness,0.8088235294117647
Claude-Opus-4.6,ENTJ,MBTI,IPIP-NEO-120,Extraversion,0.9190476190476191
Claude-Opus-4.6,ENTJ,MBTI,IPIP-NEO-120,Neuroticism,0.9373684210526316
Claude-Opus-4.6,ENTJ,MBTI,IPIP-NEO-120,Openness,0.8611111111111112
Claude-Opus-4.6,ENTJ,MBTI,SD3,Narcissism,0.725
Claude-Opus-4.6,ENTJ,MBTI,SD3,Psychopathy,0.8714285714285713
Claude-Opus-4.6,ENTJ,MBTI,ZKPQ-50-CC,Activity,1.0
Claude-Opus-4.6,ENTJ,MBTI,ZKPQ-50-CC,Aggression-Hostility,1.0
Claude-Opus-4.6,ENTJ,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,1.0
Claude-Opus-4.6,ENTJ,MBTI,ZKPQ-50-CC,Sociability,0.5
Claude-Sonnet-4.6,Default,Default,EPQR-A,Extraversion,0.33333333333333337
Claude-Sonnet-4.6,Default,Default,EPQR-A,Lie,0.8
Claude-Sonnet-4.6,Default,Default,IPIP-NEO-120,Agreeableness,0.761764705882353
Claude-Sonnet-4.6,Default,Default,IPIP-NEO-120,Conscientiousness,0.8474789915966386
Claude-Sonnet-4.6,Default,Default,IPIP-NEO-120,Extraversion,0.8047619047619048
Claude-Sonnet-4.6,Default,Default,IPIP-NEO-120,Neuroticism,0.5926315789473684
Claude-Sonnet-4.6,Default,Default,IPIP-NEO-120,Openness,0.7611111111111113
Claude-Sonnet-4.6,Default,Default,SD3,Narcissism,0.42500000000000004
Claude-Sonnet-4.6,Default,Default,SD3,Psychopathy,0.8392857142857143
Claude-Sonnet-4.6,Default,Default,ZKPQ-50-CC,Activity,0.925
Claude-Sonnet-4.6,Default,Default,ZKPQ-50-CC,Aggression-Hostility,0.2761904761904761
Claude-Sonnet-4.6,Default,Default,ZKPQ-50-CC,Neuroticism-Anxiety,0.9555555555555555
Claude-Sonnet-4.6,Default,Default,ZKPQ-50-CC,Sociability,0.8333333333333334
Claude-Sonnet-4.6,ISTJ,MBTI,EPQR-A,Extraversion,1.0
Claude-Sonnet-4.6,ISTJ,MBTI,EPQR-A,Lie,0.75
Claude-Sonnet-4.6,ISTJ,MBTI,IPIP-NEO-120,Agreeableness,0.6840336134453782
Claude-Sonnet-4.6,ISTJ,MBTI,IPIP-NEO-120,Conscientiousness,0.9411764705882353
Claude-Sonnet-4.6,ISTJ,MBTI,IPIP-NEO-120,Extraversion,0.8666666666666667
Claude-Sonnet-4.6,ISTJ,MBTI,IPIP-NEO-120,Neuroticism,0.9026315789473683
Claude-Sonnet-4.6,ISTJ,MBTI,IPIP-NEO-120,Openness,0.9444444444444444
Claude-Sonnet-4.6,ISTJ,MBTI,SD3,Narcissism,0.8333333333333334
Claude-Sonnet-4.6,ISTJ,MBTI,SD3,Psychopathy,0.9535714285714285
Claude-Sonnet-4.6,ISTJ,MBTI,ZKPQ-50-CC,Activity,0.925
Claude-Sonnet-4.6,ISTJ,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.33333333333333337
Claude-Sonnet-4.6,ISTJ,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.8888888888888888
Claude-Sonnet-4.6,ISTJ,MBTI,ZKPQ-50-CC,Sociability,1.0
Claude-Sonnet-4.6,ISFJ,MBTI,EPQR-A,Extraversion,1.0
Claude-Sonnet-4.6,ISFJ,MBTI,EPQR-A,Lie,0.75
Claude-Sonnet-4.6,ISFJ,MBTI,IPIP-NEO-120,Agreeableness,0.930672268907563
Claude-Sonnet-4.6,ISFJ,MBTI,IPIP-NEO-120,Conscientiousness,0.8676470588235294
Claude-Sonnet-4.6,ISFJ,MBTI,IPIP-NEO-120,Extraversion,0.988095238095238
Claude-Sonnet-4.6,ISFJ,MBTI,IPIP-NEO-120,Neuroticism,0.8873684210526316
Claude-Sonnet-4.6,ISFJ,MBTI,IPIP-NEO-120,Openness,0.9188888888888888
Claude-Sonnet-4.6,ISFJ,MBTI,SD3,Narcissism,0.9750000000000001
Claude-Sonnet-4.6,ISFJ,MBTI,SD3,Psychopathy,0.9642857142857143
Claude-Sonnet-4.6,ISFJ,MBTI,ZKPQ-50-CC,Activity,0.875
Claude-Sonnet-4.6,ISFJ,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.6666666666666667
Claude-Sonnet-4.6,ISFJ,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.5555555555555556
Claude-Sonnet-4.6,ISFJ,MBTI,ZKPQ-50-CC,Sociability,0.9166666666666667
Claude-Sonnet-4.6,INFJ,MBTI,EPQR-A,Extraversion,1.0
Claude-Sonnet-4.6,INFJ,MBTI,EPQR-A,Lie,1.0
Claude-Sonnet-4.6,INFJ,MBTI,IPIP-NEO-120,Agreeableness,0.9033613445378152
Claude-Sonnet-4.6,INFJ,MBTI,IPIP-NEO-120,Conscientiousness,0.9571428571428571
Claude-Sonnet-4.6,INFJ,MBTI,IPIP-NEO-120,Extraversion,0.8214285714285714
Claude-Sonnet-4.6,INFJ,MBTI,IPIP-NEO-120,Neuroticism,0.9526315789473685
Claude-Sonnet-4.6,INFJ,MBTI,IPIP-NEO-120,Openness,0.9666666666666666
Claude-Sonnet-4.6,INFJ,MBTI,SD3,Narcissism,0.8333333333333334
Claude-Sonnet-4.6,INFJ,MBTI,SD3,Psychopathy,0.9464285714285714
Claude-Sonnet-4.6,INFJ,MBTI,ZKPQ-50-CC,Activity,0.625
Claude-Sonnet-4.6,INFJ,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.33333333333333337
Claude-Sonnet-4.6,INFJ,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.3555555555555556
Claude-Sonnet-4.6,INFJ,MBTI,ZKPQ-50-CC,Sociability,0.8333333333333334
Claude-Sonnet-4.6,INTJ,MBTI,EPQR-A,Extraversion,1.0
Claude-Sonnet-4.6,INTJ,MBTI,EPQR-A,Lie,0.5
Claude-Sonnet-4.6,INTJ,MBTI,IPIP-NEO-120,Agreeableness,0.66890756302521
Claude-Sonnet-4.6,INTJ,MBTI,IPIP-NEO-120,Conscientiousness,0.96890756302521
Claude-Sonnet-4.6,INTJ,MBTI,IPIP-NEO-120,Extraversion,0.7976190476190477
Claude-Sonnet-4.6,INTJ,MBTI,IPIP-NEO-120,Neuroticism,0.8605263157894736
Claude-Sonnet-4.6,INTJ,MBTI,IPIP-NEO-120,Openness,0.9400000000000001
Claude-Sonnet-4.6,INTJ,MBTI,SD3,Narcissism,0.8166666666666667
Claude-Sonnet-4.6,INTJ,MBTI,SD3,Psychopathy,0.9178571428571428
Claude-Sonnet-4.6,INTJ,MBTI,ZKPQ-50-CC,Activity,0.875
Claude-Sonnet-4.6,INTJ,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.4761904761904763
Claude-Sonnet-4.6,INTJ,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,0.11111111111111116
Claude-Sonnet-4.6,INTJ,MBTI,ZKPQ-50-CC,Sociability,1.0
Claude-Sonnet-4.6,ISTP,MBTI,EPQR-A,Extraversion,1.0
Claude-Sonnet-4.6,ISTP,MBTI,EPQR-A,Lie,0.0
Claude-Sonnet-4.6,ISTP,MBTI,IPIP-NEO-120,Agreeableness,0.6491596638655464
Claude-Sonnet-4.6,ISTP,MBTI,IPIP-NEO-120,Conscientiousness,0.8978991596638656
Claude-Sonnet-4.6,ISTP,MBTI,IPIP-NEO-120,Extraversion,0.8595238095238096
Claude-Sonnet-4.6,ISTP,MBTI,IPIP-NEO-120,Neuroticism,0.9184210526315789
Claude-Sonnet-4.6,ISTP,MBTI,IPIP-NEO-120,Openness,0.9155555555555556
Claude-Sonnet-4.6,ISTP,MBTI,SD3,Narcissism,0.7833333333333334
Claude-Sonnet-4.6,ISTP,MBTI,SD3,Psychopathy,0.7642857142857143
Claude-Sonnet-4.6,ISTP,MBTI,ZKPQ-50-CC,Activity,0.625
Claude-Sonnet-4.6,ISTP,MBTI,ZKPQ-50-CC,Aggression-Hostility,0.6666666666666667
Claude-Sonnet-4.6,ISTP,MBTI,ZKPQ-50-CC,Neuroticism-Anxiety,1.0
Claude-Sonnet-4.6,ISTP,MBTI,ZKPQ-50-CC,Sociability,1.0
Claude-Sonnet-4.6,ISFP,MBTI,EPQR-A,Extraversion,0.6666666666666667
Claude-Sonnet-4.6,ISFP,MBTI,EPQR-A,Lie,0.75
Claude-Sonnet-4.6,ISFP,MBTI,IPIP-NEO-120,Agreeableness,0.9478991596638655
Claude-Sonnet-4.6,ISFP,MBTI,IPIP-NEO-120,Conscientiousness,0.8735294117647057
Claude-Sonnet-4.6,ISFP,MBTI,IPIP-NEO-120,Extraversion,0.9023809523809524
