item_id,variance,mean,scale,domain,keyed,item_text
ipip_033,0.4426666666666667,4.1,IPIP-NEO-120,Openness,+,Enjoy wild flights of fantasy
ipip_034,0.23933333333333323,3.775,IPIP-NEO-120,Agreeableness,+,Believe that others have good intentions
ipip_035,0.38333333333333347,4.225,IPIP-NEO-120,Conscientiousness,+,Excel in what I do
ipip_036,1.0144999999999997,1.7625,IPIP-NEO-120,Neuroticism,+,Lose my temper
ipip_037,0.4526666666666667,3.175,IPIP-NEO-120,Extraversion,+,Talk to a lot of different people at parties
ipip_038,0.2926666666666667,4.375,IPIP-NEO-120,Openness,+,See beauty in things that others might not notice
ipip_039,0.8026666666666664,1.25,IPIP-NEO-120,Agreeableness,-,Cheat to get ahead
ipip_040,1.071333333333333,2.375,IPIP-NEO-120,Conscientiousness,-,Often forget to put things back in their proper place
ipip_041,1.1193333333333335,2.125,IPIP-NEO-120,Neuroticism,+,Dislike myself
ipip_042,1.1198333333333332,3.1125,IPIP-NEO-120,Extraversion,+,Try to lead others
ipip_043,2.181333333333333,2.4,IPIP-NEO-120,Openness,+,Feel others' emotions
ipip_044,0.6873333333333335,4.025,IPIP-NEO-120,Agreeableness,+,Am concerned about others
ipip_045,0.024000000000000042,4.95,IPIP-NEO-120,Conscientiousness,+,Tell the truth
ipip_046,1.4411666666666663,2.4375,IPIP-NEO-120,Neuroticism,+,Am afraid that I will do the wrong thing
ipip_047,0.8053333333333332,2.4,IPIP-NEO-120,Extraversion,+,Am always on the go
ipip_048,0.15183333333333335,2.9875,IPIP-NEO-120,Openness,-,Prefer to stick with things that I know
ipip_049,0.026000000000000013,1.075,IPIP-NEO-120,Agreeableness,-,Yell at people
ipip_050,0.2613333333333333,4.3,IPIP-NEO-120,Conscientiousness,+,Do more than what's expected of me
ipip_051,0.7184999999999999,4.1375,IPIP-NEO-120,Neuroticism,-,Rarely overindulge
ipip_052,0.47050000000000003,3.5625,IPIP-NEO-120,Extraversion,+,Seek adventure
ipip_053,0.6051666666666666,1.6125,IPIP-NEO-120,Openness,-,Avoid philosophical discussions
ipip_054,0.1438333333333334,3.1125,IPIP-NEO-120,Agreeableness,-,Have a high opinion of myself
ipip_055,1.2526666666666666,3.375,IPIP-NEO-120,Conscientiousness,+,Carry out my plans
ipip_056,0.7624999999999998,1.9125,IPIP-NEO-120,Neuroticism,+,Become overwhelmed by events
ipip_057,0.7786666666666664,3.8,IPIP-NEO-120,Extraversion,+,Have a lot of fun
ipip_058,0.27229166666666665,3.18125,IPIP-NEO-120,Openness,+,Believe that there is no absolute right or wrong
ipip_059,0.8686666666666667,4.125,IPIP-NEO-120,Agreeableness,+,Feel sympathy for those who are worse off than myself
ipip_060,0.11200000000000002,1.2,IPIP-NEO-120,Conscientiousness,-,Make rash decisions
ipip_061,0.6800000000000002,1.85,IPIP-NEO-120,Neuroticism,+,Am easily disturbed
ipip_062,0.4580000000000001,3.875,IPIP-NEO-120,Extraversion,+,Act comfortable with others
ipip_063,1.226,3.175,IPIP-NEO-120,Openness,+,Enjoy daydreaming
ipip_064,0.36738888888888893,2.495833333333333,IPIP-NEO-120,Agreeableness,+,Trust what people say
ipip_065,0.29066666666666663,4.15,IPIP-NEO-120,Conscientiousness,+,Handle tasks smoothly
ipip_066,0.7813333333333333,1.85,IPIP-NEO-120,Neuroticism,+,Lose my composure
ipip_067,0.3318333333333335,3.1625,IPIP-NEO-120,Extraversion,+,Enjoy parties
ipip_068,0.791833333333333,3.9875,IPIP-NEO-120,Openness,+,Like music
ipip_069,0.2744999999999999,1.1875,IPIP-NEO-120,Agreeableness,-,Obstruct others' plans
ipip_070,0.19983333333333325,1.4125,IPIP-NEO-120,Conscientiousness,-,Leave a mess in my room
ipip_071,0.6080000000000001,3.7,IPIP-NEO-120,Neuroticism,-,Feel comfortable with myself
ipip_072,0.3626666666666666,2.3,IPIP-NEO-120,Extraversion,-,Wait for others to lead the way
ipip_073,0.593166666666667,4.3625,IPIP-NEO-120,Openness,+,Enjoy thinking about things
ipip_074,0.6026666666666668,1.8,IPIP-NEO-120,Agreeableness,-,Am not interested in other people's problems
ipip_075,0.6171666666666665,1.9375,IPIP-NEO-120,Conscientiousness,-,Break rules
ipip_076,0.6291666666666668,2.4875,IPIP-NEO-120,Neuroticism,+,Only feel comfortable with friends
ipip_077,1.1158333333333332,2.6375,IPIP-NEO-120,Extraversion,+,Do a lot in my spare time
ipip_078,0.5679999999999998,2.45,IPIP-NEO-120,Openness,-,Dislike changes
ipip_079,0.0025000000000000005,1.0125,IPIP-NEO-120,Agreeableness,-,Insult people
ipip_080,0.4011666666666668,4.3625,IPIP-NEO-120,Conscientiousness,+,Set high standards for myself
ipip_081,0.42429166666666673,3.58125,IPIP-NEO-120,Neuroticism,-,Am able to control my cravings
ipip_082,0.5425,1.9375,IPIP-NEO-120,Extraversion,+,Act wild and crazy
ipip_083,0.5326666666666668,1.625,IPIP-NEO-120,Openness,-,Am not interested in abstract ideas
ipip_084,0.6393333333333333,1.675,IPIP-NEO-120,Agreeableness,-,Boast about my virtues
ipip_085,0.5706666666666668,3.5,IPIP-NEO-120,Conscientiousness,+,Get to work at once
ipip_086,0.9146666666666665,2.35,IPIP-NEO-120,Neuroticism,+,Can't make up my mind
ipip_087,0.1931666666666668,4.0375,IPIP-NEO-120,Extraversion,+,Look at the bright side of life
ipip_088,0.3193333333333334,3.275,IPIP-NEO-120,Openness,-,Believe that we should be tough on crime
ipip_089,0.25316666666666665,1.4125,IPIP-NEO-120,Agreeableness,-,Am indifferent to the feelings of others
ipip_090,0.44250000000000006,1.7125,IPIP-NEO-120,Conscientiousness,-,Jump into things without thinking
ipip_091,2.2159999999999997,2.15,IPIP-NEO-120,Neuroticism,+,Am stressed out
ipip_092,0.1398333333333333,3.4375,IPIP-NEO-120,Extraversion,+,Am skilled in handling social situations
ipip_093,1.098666666666667,3.6,IPIP-NEO-120,Openness,+,Like to get lost in thought
ipip_094,0.2398333333333332,2.3125,IPIP-NEO-120,Agreeableness,-,Distrust people
ipip_095,0.2878333333333333,4.3125,IPIP-NEO-120,Conscientiousness,+,Know how to get things done
ipip_096,0.8260000000000001,4.175,IPIP-NEO-120,Neuroticism,-,Am not easily annoyed
ipip_097,0.25333333333333335,3.35,IPIP-NEO-120,Extraversion,-,Avoid crowds
ipip_098,0.6625,2.0375,IPIP-NEO-120,Openness,-,Do not like art
ipip_099,0.384,1.2,IPIP-NEO-120,Agreeableness,-,Take advantage of others
ipip_100,0.5973333333333334,3.7,IPIP-NEO-120,Conscientiousness,+,Want everything to be 'just right'
ipip_101,0.8240000000000002,1.85,IPIP-NEO-120,Neuroticism,+,Feel desperate
ipip_102,0.7353333333333333,1.925,IPIP-NEO-120,Extraversion,+,Am the life of the party
ipip_103,1.4106666666666672,3.85,IPIP-NEO-120,Openness,-,Seldom get emotional
ipip_104,0.7691666666666668,2.2375,IPIP-NEO-120,Agreeableness,-,Am not really interested in others
ipip_105,0.4691666666666667,4.1125,IPIP-NEO-120,Conscientiousness,+,Behave properly
ipip_106,1.2451666666666665,1.9875,IPIP-NEO-120,Neuroticism,+,Am afraid of many things
ipip_107,0.1665,3.2375,IPIP-NEO-120,Extraversion,-,Prefer to be alone
ipip_108,0.4558333333333335,2.1875,IPIP-NEO-120,Openness,-,Dislike new foods
ipip_109,0.3406666666666667,1.425,IPIP-NEO-120,Agreeableness,-,Hold a grudge
ipip_110,0.5278333333333334,1.6875,IPIP-NEO-120,Conscientiousness,-,Do just enough work to get by
ipip_111,0.7406666666666666,3.225,IPIP-NEO-120,Neuroticism,-,Easily resist temptations
ipip_112,0.8079999999999997,1.8166666666666667,IPIP-NEO-120,Extraversion,+,Seek danger
ipip_113,0.7825,3.8625,IPIP-NEO-120,Openness,+,Try to understand myself
ipip_114,0.26516666666666666,3.2625,IPIP-NEO-120,Agreeableness,-,Think highly of myself
ipip_115,0.3600000000000001,4.05,IPIP-NEO-120,Conscientiousness,+,Get chores done right away
ipip_116,0.6453333333333332,2.3,IPIP-NEO-120,Neuroticism,+,Feel that my life lacks direction
ipip_117,0.6611666666666668,2.1125,IPIP-NEO-120,Extraversion,+,Am always joking around
ipip_118,0.5493333333333333,3.1,IPIP-NEO-120,Openness,-,Tend to vote for conservative political candidates
ipip_119,0.42916666666666675,2.1875,IPIP-NEO-120,Agreeableness,-,Am hard to understand
ipip_120,0.4259999999999998,3.575,IPIP-NEO-120,Conscientiousness,+,Stick to my chosen path
sd3_001,0.06666666666666667,3.85,SD3,Machiavellianism,+,It's not wise to tell your secrets.
sd3_002,0.07450000000000001,1.1125,SD3,Machiavellianism,+,I like to use clever manipulation to get my way.
sd3_003,0.8106666666666664,2.4,SD3,Machiavellianism,+,"Whatever it takes, you must get the important people on your side."
sd3_004,0.6091666666666664,2.6375,SD3,Machiavellianism,+,Avoid direct conflict with others because they may be useful in the future.
sd3_005,0.0758333333333333,1.1625,SD3,Machiavellianism,+,It's wise to keep track of information that you can use against people later.
sd3_006,0.29850000000000004,1.3125,SD3,Machiavellianism,+,You should wait for the right time to get back at people.
sd3_007,0.23933333333333334,4.125,SD3,Machiavellianism,+,There are things you should hide from other people because they don't need to know.
sd3_008,0.5745,1.8625,SD3,Machiavellianism,+,"Make sure your plans benefit you, not others."
sd3_009,0.06383333333333333,4.0875,SD3,Machiavellianism,+,Most people can be manipulated.
sd3_010,0.4666666666666669,2.85,SD3,Narcissism,+,People see me as a natural leader.
sd3_011,0.3731666666666666,3.2875,SD3,Narcissism,-,I hate being the center of attention.
sd3_012,0.7451666666666666,2.0625,SD3,Narcissism,+,Many group activities tend to be dull without me.
sd3_013,0.608,1.8,SD3,Narcissism,+,I know that I am special because everyone keeps telling me so.
sd3_014,0.08266666666666667,2.85,SD3,Narcissism,+,I like to get acquainted with important people.
sd3_015,0.794,1.925,SD3,Narcissism,-,I feel embarrassed if someone compliments me.
sd3_016,0.5386666666666666,2.4,SD3,Narcissism,+,I have been compared to famous people.
sd3_017,1.0158333333333336,1.9875,SD3,Narcissism,-,I am an average person.
sd3_018,1.3226666666666664,2.8,SD3,Narcissism,+,I insist on getting the respect I deserve.
sd3_019,0.33533333333333337,1.275,SD3,Psychopathy,+,I like to get revenge on authorities.
sd3_020,0.5504999999999999,4.1625,SD3,Psychopathy,-,I avoid dangerous situations.
sd3_021,0.7916296296296295,1.5416666666666667,SD3,Psychopathy,+,Payback needs to be quick and nasty.
sd3_022,0.8398333333333332,1.8125,SD3,Psychopathy,+,People often say I'm out of control.
sd3_023,0.8320000000000003,2.0,SD3,Psychopathy,+,It's true that I can be mean to others.
sd3_024,0.8478333333333333,1.8875,SD3,Psychopathy,+,People who mess with me always regret it.
sd3_025,0.5145000000000003,4.5875,SD3,Psychopathy,-,I have never gotten into trouble with the law.
sd3_026,1.6342916666666667,2.43125,SD3,Psychopathy,+,I enjoy having sex with people I hardly know.
sd3_027,0.22116666666666668,1.2125,SD3,Psychopathy,+,I'll say anything to get what I want.
