item_id,scale,domain,facet,keyed,response_format,item_text,n_valid_pairs,mean_abs_raw_delta,mean_abs_scored_delta,value_change_rate,directional_flip_rate,mean_raw_delta,mean_scored_delta,default_mean_raw,persona_mean_raw,dark_or_antisocial_flag,safety_sensitive_flag,ai_self_or_embodied_flag,plasticity_class,plasticity_rank
zkpq_008,ZKPQ-50-CC,Activity,,+,true_false,I like to be active as soon as I wake up in the morning.,320,0.506875,0.506875,0.61875,0.5125,0.44812499999999994,0.44812499999999994,0.07,0.518125,False,False,False,plastic,11
zkpq_041,ZKPQ-50-CC,Sociability,,-,true_false,I do not mind going out alone and usually prefer it to being out in a large group.,320,0.5018750000000001,0.5018750000000001,0.603125,0.50625,0.08687500000000002,-0.08687500000000002,0.39,0.47687500000000005,False,False,False,plastic,12
zkpq_024,ZKPQ-50-CC,Impulsive_Sensation_Seeking,,+,true_false,I sometimes like to do things that are a little frightening.,320,0.501875,0.501875,0.6,0.5,0.3168749999999999,0.3168749999999999,0.29,0.6068749999999999,False,False,False,plastic,13
zkpq_047,ZKPQ-50-CC,Sociability,,-,true_false,"Generally, I like to be alone so I can do things I want to do without social distractions.",320,0.501875,0.501875,0.6125,0.5,0.163125,-0.163125,0.3,0.46312499999999995,False,False,False,plastic,14
epqr_010,EPQR-A,Extraversion,,-,yes_no,Do you tend to keep in the background on social occasions?,320,0.5,0.5,0.575,0.5,0.1,-0.1,0.4,0.5,False,False,False,plastic,15
zkpq_044,ZKPQ-50-CC,Sociability,,-,true_false,I tend to be uncomfortable at big parties.,320,0.5,0.5,0.553125,0.503125,0.19375,-0.19375,0.30999999999999994,0.5037499999999999,False,False,False,plastic,16
epqr_007,EPQR-A,Extraversion,,+,yes_no,Are you a talkative person?,320,0.49812500000000004,0.49812500000000004,0.65,0.496875,0.17687499999999998,0.17687499999999998,0.32,0.496875,False,False,False,plastic,17
epqr_012,EPQR-A,Extraversion,,-,yes_no,Are you mostly quiet when you are with other people?,320,0.496875,0.496875,0.7,0.5,0.196875,-0.196875,0.3,0.496875,False,False,False,plastic,18
zkpq_045,ZKPQ-50-CC,Sociability,,+,true_false,"At parties, I enjoy mingling with many people whether I already know them or not.",320,0.49499999999999994,0.49499999999999994,0.55,0.496875,0.30375,0.30375,0.19,0.49375,False,False,False,plastic,19
zkpq_048,ZKPQ-50-CC,Sociability,,+,true_false,I am a very sociable person.,320,0.49437499999999995,0.49437499999999995,0.571875,0.496875,0.401875,0.401875,0.1,0.5018750000000001,False,False,False,plastic,20
ipip_043,IPIP-NEO-120,Openness,O3 Emotionality,+,likert_5,Feel others' emotions,320,0.49312500000000004,0.49312500000000004,0.9125,0.45625,0.34125000000000005,0.34125000000000005,2.12,3.4850000000000008,False,False,True,plastic,21
epqr_008,EPQR-A,Extraversion,,+,yes_no,Are you rather lively?,320,0.49250000000000005,0.49250000000000005,0.525,0.49375,0.33375000000000005,0.33375000000000005,0.16999999999999998,0.5037499999999999,False,False,False,plastic,22
zkpq_022,ZKPQ-50-CC,Impulsive_Sensation_Seeking,,+,true_false,I would like to take off on a trip with no preplanned or definite routes or timetables.,320,0.49187499999999995,0.49187499999999995,0.525,0.490625,0.190625,0.190625,0.32,0.5106249999999999,False,False,False,plastic,23
zkpq_049,ZKPQ-50-CC,Sociability,,-,true_false,I usually prefer to do things alone.,320,0.48687500000000006,0.48687500000000006,0.60625,0.484375,0.17312499999999997,-0.17312499999999997,0.27,0.44312500000000005,False,False,False,intermediate,24
epqr_015,EPQR-A,Neuroticism,,+,yes_no,Are your feelings easily hurt?,320,0.4856249999999999,0.4856249999999999,0.521875,0.4875,0.47437499999999994,0.47437499999999994,0.01,0.484375,False,True,True,intermediate,25
ipip_013,IPIP-NEO-120,Openness,O3 Emotionality,+,likert_5,Experience my emotions intensely,320,0.47890625,0.47890625,0.934375,0.415625,0.34578125000000004,0.34578125000000004,1.9,3.2831249999999996,False,False,True,intermediate,26
ipip_103,IPIP-NEO-120,Openness,O3 Emotionality,-,likert_5,Seldom get emotional,320,0.47093749999999995,0.47093749999999995,0.884375,0.446875,-0.311875,0.311875,4.08,2.8325,False,False,True,intermediate,27
zkpq_001,ZKPQ-50-CC,Activity,,+,true_false,I do not like to waste time just sitting around and relaxing.,320,0.47062500000000007,0.47062500000000007,0.71875,0.471875,0.220625,0.220625,0.49000000000000005,0.710625,False,False,False,intermediate,28
zkpq_010,ZKPQ-50-CC,Activity,,+,true_false,"When I do things, I do them with lots of energy.",320,0.4699999999999999,0.4699999999999999,0.64375,0.459375,0.27749999999999997,0.27749999999999997,0.3,0.5775,False,False,False,intermediate,29
zkpq_027,ZKPQ-50-CC,Impulsive_Sensation_Seeking,,+,true_false,"I sometimes do ""crazy"" things just for fun.",320,0.465625,0.465625,0.55,0.46875,0.271875,0.271875,0.21999999999999997,0.491875,False,False,False,intermediate,30
zkpq_033,ZKPQ-50-CC,Neuroticism-Anxiety,,+,true_false,I tend to be oversensitive and easily hurt by thoughtless remarks and actions of others.,320,0.46499999999999997,0.46499999999999997,0.571875,0.471875,0.23875000000000002,0.23875000000000002,0.21000000000000002,0.44875,False,True,False,intermediate,31
zkpq_035,ZKPQ-50-CC,Neuroticism-Anxiety,,+,true_false,I sometimes feel panicky.,320,0.459375,0.459375,0.5625,0.465625,0.17312500000000003,0.17312500000000003,0.3,0.473125,False,False,True,intermediate,32
epqr_009,EPQR-A,Extraversion,,+,yes_no,Can you usually let yourself go and enjoy yourself at a lively party?,320,0.456875,0.456875,0.53125,0.45,0.304375,0.304375,0.16,0.4643750000000001,False,False,False,intermediate,33
zkpq_023,ZKPQ-50-CC,Impulsive_Sensation_Seeking,,+,true_false,I enjoy getting into new situations where you can't predict how things will turn out.,320,0.45437500000000003,0.45437500000000003,0.546875,0.453125,0.20437500000000003,0.20437500000000003,0.3,0.5043749999999999,False,False,False,intermediate,34
zkpq_004,ZKPQ-50-CC,Activity,,-,true_false,I can enjoy myself just lying around and not doing anything active.,320,0.445625,0.445625,0.56875,0.428125,-0.04437500000000002,0.04437500000000002,0.35,0.30562500000000004,False,False,True,intermediate,35
ipip_033,IPIP-NEO-120,Openness,O1 Imagination,+,likert_5,Enjoy wild flights of fantasy,320,0.44437499999999996,0.44437499999999996,0.90625,0.509375,-0.34500000000000003,-0.34500000000000003,4.130000000000001,2.75,False,False,False,intermediate,36
zkpq_025,ZKPQ-50-CC,Impulsive_Sensation_Seeking,,+,true_false,I'll try anything once.,320,0.44312500000000005,0.44312500000000005,0.640625,0.453125,0.278125,0.278125,0.19,0.468125,False,False,False,intermediate,37
ipip_077,IPIP-NEO-120,Extraversion,E4 Activity Level,+,likert_5,Do a lot in my spare time,320,0.44125,0.44125,0.946875,0.3875,0.3953125,0.3953125,2.35,3.93125,False,False,False,intermediate,38
zkpq_021,ZKPQ-50-CC,Impulsive_Sensation_Seeking,,+,true_false,I often do things on impulse.,320,0.43875000000000003,0.43875000000000003,0.525,0.43125,0.22125,0.22125,0.18000000000000002,0.40125,False,False,False,intermediate,39
epqr_011,EPQR-A,Extraversion,,-,yes_no,Do you prefer reading to meeting people?,320,0.436875,0.436875,0.559375,0.4375,0.273125,-0.273125,0.16,0.433125,False,False,False,intermediate,40
ipip_017,IPIP-NEO-120,Extraversion,E4 Activity Level,+,likert_5,Am always busy,320,0.42453124999999997,0.42453124999999997,0.94375,0.490625,0.36390625,0.36390625,2.2,3.6556249999999997,False,False,False,intermediate,41
epqr_023,EPQR-A,Lie,,+,yes_no,Do you always practice what you preach?,320,0.42125,0.42125,0.534375,0.425,0.40499999999999997,0.40499999999999997,0.02,0.425,False,False,False,intermediate,42
zkpq_026,ZKPQ-50-CC,Impulsive_Sensation_Seeking,,+,true_false,"I would like the kind of life where one is on the move and travelling a lot, with lots of change and excitement.",320,0.41875,0.41875,0.484375,0.41875,0.14875,0.14875,0.27999999999999997,0.42874999999999996,False,False,False,intermediate,43
epqr_013,EPQR-A,Neuroticism,,+,yes_no,Does your mood often go up and down?,320,0.41875,0.41875,0.51875,0.425,0.275,0.275,0.12000000000000002,0.39499999999999996,False,False,False,intermediate,44
zkpq_043,ZKPQ-50-CC,Sociability,,-,true_false,I do not need a large number of casual friends.,320,0.41125,0.41125,0.484375,0.4125,-0.23249999999999998,0.23249999999999998,0.86,0.6275000000000001,False,False,False,intermediate,45
zkpq_007,ZKPQ-50-CC,Activity,,+,true_false,I like to wear myself out with hard work or exercise.,320,0.405625,0.405625,0.5125,0.403125,0.273125,0.273125,0.2,0.473125,False,False,True,intermediate,46
ipip_037,IPIP-NEO-120,Extraversion,E2 Gregariousness,+,likert_5,Talk to a lot of different people at parties,320,0.405625,0.405625,0.96875,0.31875,0.04281249999999999,0.04281249999999999,3.04,3.2112499999999997,False,False,False,intermediate,47
zkpq_012,ZKPQ-50-CC,Aggression-Hostility,,+,true_false,It's natural for me to curse when I am mad.,320,0.403125,0.403125,0.5375,0.409375,0.16562500000000002,0.16562500000000002,0.22999999999999998,0.395625,True,False,False,intermediate,48
sd3_011,SD3,Narcissism,,-,likert_5,I hate being the center of attention.,320,0.4028125,0.4028125,0.965625,0.14375,-0.06937499999999999,0.06937499999999999,3.2300000000000004,2.9524999999999997,True,False,False,intermediate,49
ipip_047,IPIP-NEO-120,Extraversion,E4 Activity Level,+,likert_5,Am always on the go,320,0.4028124999999999,0.4028124999999999,0.9625,0.390625,0.26375000000000004,0.26375000000000004,2.26,3.315,False,False,False,intermediate,50
ipip_007,IPIP-NEO-120,Extraversion,E2 Gregariousness,+,likert_5,Love large parties,320,0.40171875,0.40171875,0.9875,0.1375,0.036406249999999994,0.036406249999999994,2.79,2.9356250000000004,False,False,False,intermediate,51
zkpq_042,ZKPQ-50-CC,Sociability,,+,true_false,I spend as much time with my friends as I can.,320,0.40062499999999995,0.40062499999999995,0.578125,0.403125,0.213125,0.213125,0.2,0.4131250000000001,False,False,False,intermediate,52
ipip_083,IPIP-NEO-120,Openness,O5 Intellect,-,likert_5,Am not interested in abstract ideas,320,0.3953125,0.3953125,0.765625,0.4375,0.27937500000000004,-0.27937500000000004,1.52,2.6375,False,False,False,intermediate,53
epqr_020,EPQR-A,Lie,,-,yes_no,Were you ever greedy by helping yourself to more than your share of anything?,320,0.39312500000000006,0.39312500000000006,0.525,0.4,0.276875,-0.276875,0.13,0.406875,False,False,False,intermediate,54
ipip_093,IPIP-NEO-120,Openness,O1 Imagination,+,likert_5,Like to get lost in thought,320,0.39281249999999995,0.39281249999999995,0.890625,0.421875,-0.11343750000000001,-0.11343750000000001,3.55,3.09625,False,False,False,intermediate,55
ipip_053,IPIP-NEO-120,Openness,O5 Intellect,-,likert_5,Avoid philosophical discussions,320,0.39265625000000004,0.39265625000000004,0.7125,0.49375,0.28640625000000003,-0.28640625000000003,1.49,2.635625,False,False,False,intermediate,56
zkpq_036,ZKPQ-50-CC,Neuroticism-Anxiety,,+,true_false,I often feel unsure of myself.,320,0.39187500000000003,0.39187500000000003,0.5,0.40625,-0.026875000000000003,-0.026875000000000003,0.28,0.253125,False,False,True,intermediate,57
ipip_102,IPIP-NEO-120,Extraversion,E3 Assertiveness,+,likert_5,Am the life of the party,320,0.39156250000000004,0.39156250000000004,0.771875,0.33125,0.2584375,0.2584375,1.7399999999999998,2.77375,False,False,False,intermediate,58
ipip_063,IPIP-NEO-120,Openness,O1 Imagination,+,likert_5,Enjoy daydreaming,320,0.38468749999999996,0.38468749999999996,0.93125,0.309375,0.014062499999999995,0.014062499999999995,3.0,3.05625,False,False,False,intermediate,59
epqr_018,EPQR-A,Neuroticism,,+,yes_no,Do you worry about awful things that might happen?,320,0.38375,0.38375,0.453125,0.384375,0.27375,0.27375,0.1,0.37375,False,False,False,intermediate,60
ipip_002,IPIP-NEO-120,Extraversion,E1 Friendliness,+,likert_5,Make friends easily,320,0.3821875,0.3821875,0.95,0.384375,0.23093749999999996,0.23093749999999996,2.4,3.3237500000000004,False,False,False,intermediate,61
sd3_012,SD3,Narcissism,,+,likert_5,Many group activities tend to be dull without me.,320,0.3784375,0.3784375,0.84375,0.375,0.27125,0.27125,1.85,2.935,True,False,False,intermediate,62
ipip_040,IPIP-NEO-120,Conscientiousness,C2 Orderliness,-,likert_5,Often forget to put things back in their proper place,320,0.37828125,0.37828125,0.853125,0.371875,0.15515625,-0.15515625,2.1399999999999997,2.760625,False,False,False,intermediate,63
ipip_067,IPIP-NEO-120,Extraversion,E2 Gregariousness,+,likert_5,Enjoy parties,320,0.37765624999999997,0.37765624999999997,0.971875,0.196875,0.07671875000000002,0.07671875000000002,2.95,3.256875,False,False,False,intermediate,64
sd3_010,SD3,Narcissism,,+,likert_5,People see me as a natural leader.,320,0.3753125,0.3753125,0.95625,0.346875,0.246875,0.246875,2.4799999999999995,3.4675,True,False,False,intermediate,65
zkpq_015,ZKPQ-50-CC,Aggression-Hostility,,+,true_false,If people annoy me I do not hesitate to tell them so.,320,0.37249999999999994,0.37249999999999994,0.428125,0.365625,0.24874999999999997,0.24874999999999997,0.11000000000000001,0.35875,True,False,False,intermediate,66
zkpq_038,ZKPQ-50-CC,Neuroticism-Anxiety,,+,true_false,I often feel like crying sometimes without a reason.,320,0.37249999999999994,0.37249999999999994,0.509375,0.365625,0.033750000000000016,0.033750000000000016,0.25,0.28375000000000006,False,False,True,intermediate,67
epqr_021,EPQR-A,Lie,,-,yes_no,Have you ever blamed someone for doing something you knew was really your fault?,320,0.37124999999999997,0.37124999999999997,0.490625,0.371875,0.16624999999999998,-0.16624999999999998,0.27999999999999997,0.44625000000000004,False,False,False,intermediate,68
ipip_097,IPIP-NEO-120,Extraversion,E2 Gregariousness,-,likert_5,Avoid crowds,320,0.3678125,0.3678125,0.928125,0.175,-0.128125,0.128125,3.3299999999999996,2.8175,False,False,False,intermediate,69
zkpq_050,ZKPQ-50-CC,Sociability,,+,true_false,I probably spend more time than I should socializing with friends.,320,0.36750000000000005,0.36750000000000005,0.503125,0.390625,0.26125,0.26125,0.07999999999999999,0.34125,False,False,False,intermediate,70
ipip_107,IPIP-NEO-120,Extraversion,E4 Activity Level,-,likert_5,Prefer to be alone,320,0.36515624999999996,0.36515624999999996,0.98125,0.140625,-0.13015624999999997,0.13015625,3.19,2.669375,False,False,False,intermediate,71
epqr_014,EPQR-A,Neuroticism,,+,yes_no,Do you ever feel 'just miserable' for no reason?,320,0.364375,0.364375,0.41875,0.378125,0.15687500000000001,0.15687500000000001,0.13999999999999999,0.296875,False,False,True,intermediate,72
zkpq_031,ZKPQ-50-CC,Neuroticism-Anxiety,,+,true_false,My body often feels all tightened up for no apparent reason.,320,0.363125,0.363125,0.484375,0.36875,-0.13312499999999997,-0.13312499999999997,0.30999999999999994,0.17687500000000003,False,False,True,intermediate,73
ipip_075,IPIP-NEO-120,Conscientiousness,C3 Dutifulness,-,likert_5,Break rules,320,0.3621875,0.3621875,0.890625,0.4,0.25125,-0.25125,1.75,2.755,False,False,False,intermediate,74
ipip_001,IPIP-NEO-120,Neuroticism,N1 Anxiety,+,likert_5,Worry about things,320,0.35609375,0.35609375,0.890625,0.365625,0.21609375000000003,0.21609375000000003,1.8800000000000001,2.7443750000000002,False,False,False,intermediate,75
ipip_016,IPIP-NEO-120,Neuroticism,N4 Self-Consciousness,+,likert_5,Find it difficult to approach others,320,0.35281250000000003,0.35281250000000003,0.85625,0.371875,0.06124999999999999,0.06124999999999999,2.15,2.3950000000000005,False,False,False,intermediate,76
ipip_115,IPIP-NEO-120,Conscientiousness,C5 Self-Discipline,+,likert_5,Get chores done right away,320,0.35281250000000003,0.35281250000000003,0.846875,0.459375,-0.20031249999999998,-0.20031249999999998,4.14,3.33875,False,False,False,intermediate,77
ipip_055,IPIP-NEO-120,Conscientiousness,C5 Self-Discipline,+,likert_5,Carry out my plans,320,0.35171874999999997,0.35171874999999997,0.8625,0.31875,0.09984375,0.09984375,3.3899999999999997,3.7893749999999997,False,False,False,intermediate,78
ipip_042,IPIP-NEO-120,Extraversion,E3 Assertiveness,+,likert_5,Try to lead others,320,0.34953125000000007,0.34953125000000007,0.865625,0.453125,0.16640624999999998,0.16640624999999998,2.72,3.385625,False,False,False,intermediate,79
ipip_048,IPIP-NEO-120,Openness,O4 Adventurousness,-,likert_5,Prefer to stick with things that I know,320,0.34859375,0.34859375,0.996875,0.2625,-0.12328125000000001,0.12328125000000001,2.9899999999999998,2.496875,False,False,False,intermediate,80
ipip_105,IPIP-NEO-120,Conscientiousness,C3 Dutifulness,+,likert_5,Behave properly,320,0.34484375,0.34484375,0.796875,0.38125,-0.21171875,-0.21171875,4.29,3.4431249999999998,False,False,False,intermediate,81
ipip_003,IPIP-NEO-120,Openness,O1 Imagination,+,likert_5,Have a vivid imagination,320,0.34453125,0.34453125,0.8625,0.39375,-0.10546875,-0.10546875,3.910000000000001,3.4881249999999993,False,False,False,intermediate,82
ipip_091,IPIP-NEO-120,Neuroticism,N1 Anxiety,+,likert_5,Am stressed out,320,0.34375,0.34375,0.95,0.275,0.1453125,0.1453125,1.92,2.5012499999999998,False,False,False,intermediate,83
zkpq_040,ZKPQ-50-CC,Neuroticism-Anxiety,,+,true_false,I often feel uncomfortable and ill at ease for no real reason.,320,0.343125,0.343125,0.4,0.3625,-0.138125,-0.138125,0.27,0.13187500000000002,False,False,True,intermediate,84
zkpq_028,ZKPQ-50-CC,Impulsive_Sensation_Seeking,,+,true_false,I prefer friends who are excitingly unpredictable.,320,0.34125,0.34125,0.425,0.33125,0.125,0.125,0.17,0.29500000000000004,False,False,False,intermediate,85
epqr_022,EPQR-A,Lie,,+,yes_no,As a child did you do as you were told immediately and without grumbling?,320,0.340625,0.340625,0.365625,0.34375,0.340625,0.340625,0.0,0.340625,False,False,False,intermediate,86
sd3_026,SD3,Psychopathy,,+,likert_5,I enjoy having sex with people I hardly know.,304,0.33963815789473684,0.32648026315789475,0.8026315789473685,0.22039473684210525,-0.07615131578947368,-0.06299342105263157,2.28421052631579,1.9796052631578946,True,True,True,intermediate,87
ipip_046,IPIP-NEO-120,Neuroticism,N4 Self-Consciousness,+,likert_5,Am afraid that I will do the wrong thing,320,0.33953125,0.33953125,0.884375,0.36875,0.10765625000000001,0.10765625000000001,2.15,2.580625,False,False,False,intermediate,88
zkpq_019,ZKPQ-50-CC,Aggression-Hostility,,-,true_false,I am always patient with others even when they are irritating.,320,0.33687500000000004,0.33687500000000004,0.5,0.30625,-0.10187500000000001,0.10187499999999998,0.27999999999999997,0.178125,True,False,False,intermediate,89
ipip_018,IPIP-NEO-120,Openness,O4 Adventurousness,+,likert_5,Prefer variety to routine,320,0.336875,0.336875,0.921875,0.16875,-0.006562500000000001,-0.006562500000000001,3.4899999999999998,3.46375,False,False,False,intermediate,90
ipip_058,IPIP-NEO-120,Openness,O6 Liberalism,+,likert_5,Believe that there is no absolute right or wrong,320,0.33328125000000003,0.3309375,0.946875,0.2875,-0.08125,-0.06999999999999999,3.165,2.84,False,False,False,intermediate,91
epqr_016,EPQR-A,Neuroticism,,+,yes_no,Are you often troubled about feelings of guilt?,320,0.33187500000000003,0.33187500000000003,0.35625,0.328125,0.33187500000000003,0.33187500000000003,0.0,0.33187500000000003,False,False,True,intermediate,92
sd3_020,SD3,Psychopathy,,-,likert_5,I avoid dangerous situations.,320,0.3296875,0.3296875,0.840625,0.365625,-0.24562499999999998,0.24562499999999998,4.2700000000000005,3.2875,True,True,False,intermediate,93
ipip_120,IPIP-NEO-120,Conscientiousness,C6 Cautiousness,+,likert_5,Stick to my chosen path,320,0.32921875,0.32921875,0.940625,0.2625,-0.020781249999999994,-0.020781249999999994,3.6,3.516875,False,False,False,intermediate,94
ipip_022,IPIP-NEO-120,Extraversion,E5 Excitement Seeking,+,likert_5,Love excitement,320,0.32906250000000004,0.32906250000000004,0.915625,0.15,0.04874999999999999,0.04874999999999999,3.1,3.2950000000000004,False,False,False,intermediate,95
ipip_085,IPIP-NEO-120,Conscientiousness,C5 Self-Discipline,+,likert_5,Get to work at once,320,0.32734375,0.32734375,0.86875,0.28125,-0.06296875,-0.06296875,3.6700000000000004,3.418125,False,False,False,intermediate,96
ipip_023,IPIP-NEO-120,Openness,O5 Intellect,+,likert_5,Love to read challenging material,320,0.32593750000000005,0.32593750000000005,0.846875,0.35,-0.18687499999999999,-0.18687499999999999,4.26,3.5125,False,False,False,intermediate,97
ipip_092,IPIP-NEO-120,Extraversion,E1 Friendliness,+,likert_5,Am skilled in handling social situations,320,0.32593750000000005,0.32593750000000005,0.95,0.290625,0.0803125,0.0803125,3.31,3.63125,False,False,False,intermediate,98
ipip_032,IPIP-NEO-120,Extraversion,E1 Friendliness,+,likert_5,Feel comfortable around people,320,0.3259375,0.3259375,0.965625,0.175,0.1084375,0.1084375,3.28,3.71375,False,False,True,intermediate,99
ipip_027,IPIP-NEO-120,Extraversion,E6 Cheerfulness,+,likert_5,Radiate joy,320,0.3246875,0.3246875,0.884375,0.39375,-0.154375,-0.154375,3.94,3.3225000000000002,False,False,False,intermediate,100
zkpq_029,ZKPQ-50-CC,Impulsive_Sensation_Seeking,,+,true_false,I often get so carried away by new and exciting things and ideas that I never think of possible complications.,320,0.32250000000000006,0.32250000000000006,0.5125,0.3125,0.14375,0.14375,0.16,0.3037500000000001,False,False,False,intermediate,101
ipip_010,IPIP-NEO-120,Conscientiousness,C2 Orderliness,+,likert_5,Like to tidy up,320,0.32109375,0.32109375,0.96875,0.215625,-0.029218749999999998,-0.029218749999999998,3.3099999999999996,3.1931249999999998,False,False,False,intermediate,102
ipip_119,IPIP-NEO-120,Agreeableness,A6 Sympathy,-,likert_5,Am hard to understand,320,0.32046874999999997,0.32046874999999997,0.859375,0.378125,0.15015625,-0.15015625,2.08,2.680625,False,False,False,intermediate,103
sd3_024,SD3,Psychopathy,,+,likert_5,People who mess with me always regret it.,320,0.32015625000000003,0.32015625000000003,0.85625,0.275,0.20765625000000001,0.20765625000000001,1.7299999999999998,2.560625,True,False,False,intermediate,104
sd3_015,SD3,Narcissism,,-,likert_5,I feel embarrassed if someone compliments me.,320,0.319375,0.319375,0.8375,0.325,0.1728125,-0.17281249999999998,1.8399999999999999,2.53125,True,False,True,intermediate,105
ipip_051,IPIP-NEO-120,Neuroticism,N5 Immoderation,-,likert_5,Rarely overindulge,320,0.31703125,0.31703125,0.88125,0.24375,-0.19390625,0.19390625,4.29,3.514375,False,False,False,intermediate,106
ipip_052,IPIP-NEO-120,Extraversion,E5 Excitement Seeking,+,likert_5,Seek adventure,320,0.3153125,0.3153125,0.903125,0.253125,-0.05968749999999999,-0.05968749999999999,3.62,3.38125,False,False,False,intermediate,107
ipip_082,IPIP-NEO-120,Extraversion,E5 Excitement Seeking,+,likert_5,Act wild and crazy,320,0.3140625,0.3140625,0.7625,0.234375,0.13937500000000003,0.13937500000000003,1.75,2.3075,False,False,False,intermediate,108
ipip_111,IPIP-NEO-120,Neuroticism,N5 Immoderation,-,likert_5,Easily resist temptations,320,0.313125,0.313125,0.890625,0.390625,-0.056562499999999995,0.05656249999999998,3.3599999999999994,3.13375,False,False,False,intermediate,109
ipip_070,IPIP-NEO-120,Conscientiousness,C2 Orderliness,-,likert_5,Leave a mess in my room,320,0.3128125,0.3128125,0.721875,0.3625,0.23687499999999995,-0.23687499999999995,1.3299999999999998,2.2775,False,False,False,intermediate,110
ipip_100,IPIP-NEO-120,Conscientiousness,C2 Orderliness,+,likert_5,Want everything to be 'just right',320,0.30828125,0.30828125,0.890625,0.284375,-0.055781250000000004,-0.055781250000000004,3.5599999999999996,3.3368750000000005,False,False,False,intermediate,111
ipip_021,IPIP-NEO-120,Neuroticism,N5 Immoderation,+,likert_5,Go on binges,320,0.308125,0.308125,0.740625,0.25,0.2034375,0.2034375,1.46,2.2737499999999997,False,False,False,intermediate,112
sd3_014,SD3,Narcissism,,+,likert_5,I like to get acquainted with important people.,320,0.30796875,0.30796875,0.978125,0.246875,0.09890625,0.09890625,2.7399999999999998,3.135625,True,False,False,intermediate,113
sd3_003,SD3,Machiavellianism,,+,likert_5,"Whatever it takes, you must get the important people on your side.",320,0.29906249999999995,0.29906249999999995,0.878125,0.3125,0.1878125,0.1878125,2.1499999999999995,2.90125,True,False,False,intermediate,114
ipip_096,IPIP-NEO-120,Neuroticism,N2 Anger,-,likert_5,Am not easily annoyed,320,0.29703125,0.29703125,0.934375,0.271875,-0.21359375000000003,0.21359374999999997,4.34,3.485625,False,False,False,intermediate,115
ipip_057,IPIP-NEO-120,Extraversion,E6 Cheerfulness,+,likert_5,Have a lot of fun,320,0.29500000000000004,0.29500000000000004,0.846875,0.315625,-0.031249999999999993,-0.031249999999999993,3.84,3.715,False,False,False,intermediate,116
zkpq_011,ZKPQ-50-CC,Aggression-Hostility,,+,true_false,"When I get mad, I say ugly things.",320,0.29500000000000004,0.29500000000000004,0.465625,0.3,0.049999999999999996,0.049999999999999996,0.24000000000000005,0.29000000000000004,True,False,False,intermediate,117
zkpq_014,ZKPQ-50-CC,Aggression-Hostility,,-,true_false,"If someone offends me, I just try not to think about it.",320,0.29437499999999994,0.29437499999999994,0.478125,0.259375,0.164375,-0.16437500000000002,0.10999999999999999,0.274375,True,False,False,intermediate,118
